method,window,t_lo,t_hi,window_role,condition,primary_metric,owd_ms_mean,owd_ms_p95,rtt_ms_mean,rtt_ms_p95,rtt_latest_ms_mean,rtt_latest_ms_p10,rtt_latest_ms_median,rtt_latest_ms_p90,rtt_latest_ms_p95,jitter_ms_mean,path_b_share_pct_mean,secondary_total_quic_wire_mbps_mean,secondary_path_a_quic_wire_mbps_mean,secondary_path_b_quic_wire_mbps_mean
baseline,0-50,0.0,50.0,stable,stable 40 ms,delay_proxy_ms,188.768817654325,203.097,377.53763530865,406.194,407.1205359893928,406.821542,412.998708,417.615084,417.615084,53.11688293871834,13.905928174251892,17.22517664,15.833677920000003,1.39149872
baseline,50-60,50.0,60.0,response,response to 40 -> 80 ms,delay_proxy_ms,209.05497331366502,211.7265,418.10994662733003,423.453,437.2385061858656,435.024208,437.354875,456.98425,456.98425,22.61733230521657,9.003168513443857,24.618092800000003,22.4002832,2.2178096
baseline,60-100,60.0,100.0,stable,stable 80 ms,delay_proxy_ms,215.3531773388835,217.6975,430.706354677767,435.395,438.53940127842236,437.561876,438.218167,439.277834,439.277834,13.060942136805126,10.163779732712385,25.4257822,22.839339799999998,2.5864424
baseline,100-110,100.0,110.0,response,response to 80 -> 40 ms,delay_proxy_ms,215.23890479493625,217.886,430.4778095898725,435.772,415.0345206259428,399.052667,418.014625,418.014625,438.411208,13.022696523020894,11.8577633615785,26.2305568,23.1210032,3.1095536
baseline,110-200,110.0,200.0,recovery,recovery 40 ms,delay_proxy_ms,209.63530770446098,214.768,419.27061540892197,429.536,416.7126371731227,415.688,416.600417,418.014625,418.847041,4.1995739033457244,5.17757330157115,23.24799777777778,22.046877600000002,1.2011201777777778
baseline,0-200,0.0,200.0,full_run,full run,delay_proxy_ms,207.6046543530225,217.4205,415.209308706045,434.841,421.52407241426255,412.998708,417.22925,439.142042,439.239751,17.579095919800075,8.779667353141374,22.39548208,20.723446680000002,1.6720354
clean_delay_qaccess_d,0-50,0.0,50.0,stable,stable 40 ms,delay_proxy_ms,160.59211137609634,177.7975,321.1842227521927,355.595,401.4722576533905,401.089542,406.1035,410.349125,410.349125,113.14381734219137,13.13552902931118,19.23787072,17.5988504,1.6390203200000002
clean_delay_qaccess_d,50-60,50.0,60.0,response,response to 40 -> 80 ms,delay_proxy_ms,178.75983367831495,186.246,357.5196673566299,372.492,408.9634714815537,406.1035,406.1035,427.454042,427.903792,84.16737111895775,9.443569724617145,24.8864024,22.5352272,2.3511752
clean_delay_qaccess_d,60-100,60.0,100.0,stable,stable 80 ms,delay_proxy_ms,195.26391601043034,197.842,390.52783202086067,395.684,428.642918914837,427.903792,428.657875,429.304167,429.304167,59.988491681877456,10.693052844187202,25.805600400000003,23.0440246,2.7615758
clean_delay_qaccess_d,100-110,100.0,110.0,response,response to 80 -> 40 ms,delay_proxy_ms,198.2284029436696,199.1985,396.4568058873392,398.397,419.0216841181321,406.869625,428.657875,428.657875,428.657875,48.881838252292525,12.392753012802626,26.6143384,23.316053599999996,3.2982848
clean_delay_qaccess_d,110-200,110.0,200.0,recovery,recovery 40 ms,delay_proxy_ms,200.38732882463393,203.0895,400.77465764926785,406.179,408.45161115570346,407.605583,408.427584,410.403917,410.403917,25.48297506019171,14.993288384216577,27.425631022222227,23.327334399999998,4.098296622222222
clean_delay_qaccess_d,0-200,0.0,200.0,full_run,full run,delay_proxy_ms,193.10425994809472,203.0895,386.20851989618944,406.179,411.61330997120746,406.1035,408.427584,428.657875,428.657875,47.03128067509248,13.261288735933682,24.88715876,21.79838204,3.08877672
