method,time_s,path_a_quic_wire_mbps,path_b_quic_wire_mbps,total_quic_wire_mbps,path_b_share_pct
baseline,0.0,0.006136,0.010024,0.01616,62.02970297029703
baseline,1.0,0.030384,0.036504,0.066888,54.57481162540366
baseline,2.0,0.026752,0.028864,0.055616,51.89873417721519
baseline,3.0,0.061608,0.018432,0.08004,23.028485757121437
baseline,4.0,0.09396,0.018056,0.112016,16.119125839165832
baseline,5.0,0.00852,0.00852,0.01704,50.0
baseline,6.0,0.0,0.0,0.0,
baseline,7.0,0.029272,0.029272,0.058544,50.0
baseline,8.0,0.020736,0.013824,0.03456,40.0
baseline,9.0,0.0,0.0,0.0,
baseline,10.0,0.0,0.0,0.0,
baseline,11.0,0.0,0.0,0.0,
baseline,12.0,0.058752,0.0,0.058752,0.0
baseline,13.0,2.930264,0.062224,2.992488,2.079340000695074
baseline,14.0,21.209312,1.206696,22.416008,5.3831886569633625
baseline,15.0,21.421904,1.42672,22.848624,6.2442272234861935
baseline,16.0,21.33016,1.445576,22.775736,6.3470001584141995
baseline,17.0,21.915032,2.012912,23.927944,8.412390132641567
baseline,18.0,21.466696,1.447872,22.914568,6.318565551835845
baseline,19.0,22.106904,2.105016,24.21192,8.694130824816867
baseline,20.0,21.505016,1.499688,23.004704,6.519049321390964
baseline,21.0,22.173936,2.123912,24.297848,8.74115271442969
baseline,22.0,21.54964,1.559208,23.108848,6.747233786816201
baseline,23.0,22.182664,2.130376,24.31304,8.762277362271439
baseline,24.0,21.590536,1.599208,23.189744,6.896186521075869
baseline,25.0,21.928512,1.824304,23.752816,7.680369350732982
baseline,26.0,21.897752,1.951656,23.849408,8.183247148105313
baseline,27.0,21.61208,1.615136,23.227216,6.953635769349198
baseline,28.0,22.256032,2.225056,24.481088,9.088877095658493
baseline,29.0,21.61772,1.667824,23.285544,7.162486734258818
baseline,30.0,22.276816,2.223608,24.500424,9.075793953606679
baseline,31.0,21.703016,1.731736,23.434752,7.389606683271068
baseline,32.0,21.799752,1.726664,23.526416,7.339256434129194
baseline,33.0,21.44788,2.268176,23.716056,9.563883640686292
baseline,34.0,21.691472,1.75336,23.444832,7.478663101531288
baseline,35.0,22.3298,2.29096,24.62076,9.304993022148789
baseline,36.0,21.804288,1.844256,23.648544,7.798602738502633
baseline,37.0,21.771752,1.786696,23.558448,7.584098918570527
baseline,38.0,22.401616,2.394712,24.796328,9.657526711213048
baseline,39.0,21.826592,1.847488,23.67408,7.803842852605043
baseline,40.0,22.3686,2.335512,24.704112,9.45394029949346
baseline,41.0,21.97628,1.971176,23.947456,8.231254292731553
baseline,42.0,21.83808,1.877096,23.715176,7.915167907672285
baseline,43.0,22.55576,2.519984,25.075744,10.049488461837862
baseline,44.0,21.909248,1.953888,23.863136,8.187892823474668
baseline,45.0,22.448792,2.31712,24.765912,9.356085897422231
baseline,46.0,22.00508,2.147936,24.153016,8.89303431091173
baseline,47.0,21.880592,1.926224,23.806816,8.091060980183155
baseline,48.0,22.627632,2.498416,25.126048,9.943529519644315
baseline,49.0,21.990568,2.093048,24.083616,8.690754743805913
baseline,50.0,22.389624,1.925744,24.315368,7.919863684563606
baseline,51.0,22.291496,2.446088,24.737584,9.888144290889523
baseline,52.0,22.554392,2.192664,24.747056,8.860302413345652
baseline,53.0,22.16092,1.998192,24.159112,8.270966250746302
baseline,54.0,22.637752,2.208072,24.845824,8.887095070785337
baseline,55.0,22.183504,2.441024,24.624528,9.91297782438713
baseline,56.0,22.685368,2.106016,24.791384,8.494951310503682
baseline,57.0,22.21996,2.043928,24.263888,8.423744784842397
baseline,58.0,22.646696,2.530264,25.17696,10.049918655786879
baseline,59.0,22.23312,2.286104,24.519224,9.323720848588032
baseline,60.0,22.75644,2.143632,24.900072,8.608938962104205
baseline,61.0,22.273832,2.27588,24.549712,9.270495719053649
baseline,62.0,22.816096,2.52624,25.342336,9.968457524989015
baseline,63.0,22.261256,2.308392,24.569648,9.395299436117277
baseline,64.0,22.883552,2.150336,25.033888,8.58970048919289
baseline,65.0,22.302096,2.611008,24.913104,10.480460403488863
baseline,66.0,22.894016,2.442512,25.336528,9.640279046915978
baseline,67.0,22.369672,2.285928,24.6556,9.271435292590729
baseline,68.0,22.888384,2.238696,25.12708,8.90949525372626
baseline,69.0,22.42264,2.76352,25.18616,10.972375304532331
baseline,70.0,22.918328,2.407408,25.325736,9.505777048295853
baseline,71.0,22.474888,2.248944,24.723832,9.096259835449457
baseline,72.0,22.897488,2.642696,25.540184,10.347208148539572
