method,time_s,tc_configured_loss_pct,tc_sent_pkts,tc_dropped_pkts,tc_sent_pkts_delta,tc_dropped_delta,tc_loss_rate
baseline,0.0,0.0,2,0,0.0,0.0,
baseline,1.0103178024291992,0.0,2,0,0.0,0.0,
baseline,2.0242817401885986,0.0,2,0,0.0,0.0,
baseline,3.0342507362365723,0.0,16,0,14.0,0.0,0.0
baseline,4.045722484588623,0.0,17,0,1.0,0.0,0.0
baseline,5.059149742126465,0.0,17,0,0.0,0.0,
baseline,6.068963527679443,0.0,17,0,0.0,0.0,
baseline,7.080527067184448,0.0,17,0,0.0,0.0,
baseline,8.092350721359253,0.0,139,0,122.0,0.0,0.0
baseline,9.100088119506836,0.0,1042,0,903.0,0.0,0.0
baseline,10.106045246124268,0.0,2241,0,1199.0,0.0,0.0
baseline,11.110733032226562,0.0,3444,0,1203.0,0.0,0.0
baseline,12.119836568832397,0.0,4652,0,1208.0,0.0,0.0
baseline,13.130632162094116,0.0,5904,0,1252.0,0.0,0.0
baseline,14.136872291564941,0.0,7250,0,1346.0,0.0,0.0
baseline,15.147146463394165,0.0,8589,0,1339.0,0.0,0.0
baseline,16.15550708770752,0.0,10030,0,1441.0,0.0,0.0
baseline,17.164156913757324,0.0,11438,0,1408.0,0.0,0.0
baseline,18.17054057121277,0.0,12849,0,1411.0,0.0,0.0
baseline,19.175220251083374,0.0,14316,0,1467.0,0.0,0.0
baseline,20.182384729385376,0.0,15862,0,1546.0,0.0,0.0
baseline,21.187855005264282,0.0,17475,0,1613.0,0.0,0.0
baseline,22.195382356643677,0.0,19090,0,1615.0,0.0,0.0
baseline,23.20578384399414,0.0,20692,0,1602.0,0.0,0.0
baseline,24.213054180145264,0.0,22183,0,1491.0,0.0,0.0
baseline,25.221712589263916,0.0,23551,0,1368.0,0.0,0.0
baseline,26.22983455657959,0.0,24921,0,1370.0,0.0,0.0
baseline,27.238110065460205,0.0,26305,0,1384.0,0.0,0.0
baseline,28.245120763778687,0.0,27673,0,1368.0,0.0,0.0
baseline,29.25000786781311,0.0,28928,0,1255.0,0.0,0.0
baseline,30.25960922241211,0.0,30361,0,1433.0,0.0,0.0
baseline,31.263864517211914,0.0,31712,0,1351.0,0.0,0.0
baseline,32.27736711502075,0.0,33059,0,1347.0,0.0,0.0
baseline,33.28690528869629,0.0,34359,0,1300.0,0.0,0.0
baseline,34.29308319091797,0.0,35625,0,1266.0,0.0,0.0
baseline,35.29987096786499,0.0,36930,0,1305.0,0.0,0.0
baseline,36.308310747146606,0.0,38267,0,1337.0,0.0,0.0
baseline,37.31380653381348,0.0,39608,0,1341.0,0.0,0.0
baseline,38.320085525512695,0.0,40950,0,1342.0,0.0,0.0
baseline,39.32662534713745,0.0,42275,0,1325.0,0.0,0.0
baseline,40.33208346366882,0.0,43621,0,1346.0,0.0,0.0
baseline,41.33808088302612,0.0,44940,0,1319.0,0.0,0.0
baseline,42.34335947036743,0.0,46309,0,1369.0,0.0,0.0
baseline,43.35061287879944,0.0,47687,0,1378.0,0.0,0.0
baseline,44.35547590255737,0.0,49057,0,1370.0,0.0,0.0
baseline,45.360079526901245,0.0,50443,0,1386.0,0.0,0.0
baseline,46.364582538604736,0.0,51756,0,1313.0,0.0,0.0
baseline,47.37565040588379,0.0,53246,0,1490.0,0.0,0.0
baseline,48.38806462287903,0.0,54714,0,1468.0,0.0,0.0
baseline,49.41007208824158,0.0,56600,0,1886.0,0.0,0.0
baseline,50.4160270690918,0.0,58424,0,1824.0,0.0,0.0
baseline,51.424094676971436,0.0,60121,0,1697.0,0.0,0.0
baseline,52.43049478530884,0.0,61825,0,1704.0,0.0,0.0
baseline,53.435842514038086,0.0,63668,0,1843.0,0.0,0.0
baseline,54.44065856933594,0.0,65428,0,1760.0,0.0,0.0
baseline,55.447572231292725,0.0,67163,0,1735.0,0.0,0.0
baseline,56.45531415939331,0.0,68940,0,1777.0,0.0,0.0
baseline,57.460482358932495,0.0,70739,0,1799.0,0.0,0.0
baseline,58.46790289878845,0.0,72528,0,1789.0,0.0,0.0
baseline,59.4757239818573,0.0,74346,0,1818.0,0.0,0.0
