method,time_s,path_a_quic_wire_mbps,path_b_quic_wire_mbps,total_quic_wire_mbps,path_b_share_pct
baseline,0.0,0.024248,0.02784,0.052088,53.44801105820919
baseline,1.0,0.037864,0.037752,0.075616,49.92594159966145
baseline,2.0,0.027168,0.026752,0.05392,49.61424332344214
baseline,3.0,0.139152,0.046128,0.18528,24.89637305699482
baseline,4.0,0.013824,0.013824,0.027648,50.0
baseline,5.0,0.0,0.0,0.0,
baseline,6.0,0.020736,0.020736,0.041472,50.0
baseline,7.0,2.882848,0.078752,2.9616,2.6591031874662345
baseline,8.0,24.438304,4.492816,28.93112,15.52935385840576
baseline,9.0,27.873408,7.86032,35.733728,21.996921228034196
baseline,10.0,28.735184,8.717064,37.452248,23.27514225581332
baseline,11.0,28.348776,8.335168,36.683944,22.72156995987127
baseline,12.0,28.510256,8.471472,36.981728,22.907182703847695
baseline,13.0,29.803304,9.806216,39.60952,24.757219981459002
baseline,14.0,29.757032,9.737832,39.494864,24.655945137575358
baseline,15.0,30.41468,10.397736,40.812416,25.476894090269
baseline,16.0,30.661792,10.68576,41.347552,25.84375490960142
baseline,17.0,30.596976,10.660096,41.257072,25.838227201387436
baseline,18.0,30.917952,10.969728,41.88768,26.188435358558888
baseline,19.0,31.365496,11.348112,42.713608,26.567907819915376
baseline,20.0,32.02968,12.163152,44.192832,27.522906882274484
baseline,21.0,32.504072,12.586472,45.090544,27.913772785708684
baseline,22.0,32.7946,12.784464,45.579064,28.04898319105456
baseline,23.0,31.48088,11.710344,43.191224,27.112785689981834
baseline,24.0,30.433576,10.28764,40.721216,25.26358741349964
baseline,25.0,29.725232,9.623704,39.348936,24.457342378965468
baseline,26.0,29.98776,10.416904,40.404664,25.781439489262926
baseline,27.0,29.654424,9.793872,39.448296,24.827110402943642
baseline,28.0,30.218392,9.974744,40.193136,24.81703343575878
baseline,29.0,29.864768,9.996432,39.8612,25.078101010506458
baseline,30.0,30.401496,9.500312,39.901808,23.80922689016999
baseline,31.0,29.889848,9.391784,39.281632,23.90884370588269
baseline,32.0,31.0866,9.899392,40.985992,24.153110653025063
baseline,33.0,30.493864,9.718,40.211864,24.166997083248866
baseline,34.0,29.888624,8.591904,38.480528,22.327926477516108
baseline,35.0,30.938704,9.846056,40.78476,24.141507759270866
baseline,36.0,30.474472,9.139952,39.614424,23.072282964407105
baseline,37.0,30.936024,10.120008,41.056032,24.64925982130957
baseline,38.0,30.180496,9.505328,39.685824,23.95144422350913
baseline,39.0,30.344648,9.978928,40.323576,24.7471305620315
baseline,40.0,30.360624,9.455496,39.81612,23.747909138308806
baseline,41.0,30.057608,9.656,39.713608,24.314083978469043
baseline,42.0,30.088264,10.01284,40.101104,24.96898838495818
baseline,43.0,30.239952,10.15444,40.394392,25.13824196190402
baseline,44.0,29.411064,9.850744,39.261808,25.089888881327116
baseline,45.0,30.48708,9.50088,39.98796,23.75935156482101
baseline,46.0,30.053752,10.289536,40.343288,25.50495140604306
baseline,47.0,29.44172,10.085952,39.527672,25.516180158548167
baseline,48.0,24.928088,12.539656,37.467744,33.467870390061385
baseline,49.0,20.225768,15.505216,35.730984,43.39431570090541
baseline,50.0,20.097976,14.35992,34.457896,41.67381548774771
baseline,51.0,20.123168,13.12376,33.246928,39.47360189188006
baseline,52.0,20.257232,14.719824,34.977056,42.084228015073656
baseline,53.0,20.265488,14.685984,34.951472,42.01821313849099
baseline,54.0,20.262608,14.231872,34.49448,41.25840424322964
baseline,55.0,20.246432,14.389056,34.635488,41.54425657291158
baseline,56.0,20.271416,14.297648,34.569064,41.35966192200055
baseline,57.0,20.272216,14.89956,35.171776,42.36226228666985
baseline,58.0,20.156968,15.334072,35.49104,43.20547383226865
baseline,59.0,20.205864,15.447648,35.653512,43.3271426388514
baseline,60.0,20.264448,14.968832,35.23328,42.484923345200905
baseline,61.0,20.285584,14.335648,34.621232,41.407099550934525
baseline,62.0,20.276632,14.147224,34.423856,41.0971507666079
baseline,63.0,20.252672,15.7334,35.986072,43.72080398216288
baseline,64.0,20.253848,14.269512,34.52336,41.332917769301716
baseline,65.0,20.256424,14.783624,35.040048,42.190649967146165
baseline,66.0,20.267192,15.397104,35.664296,43.172320014391985
baseline,67.0,20.272608,15.286536,35.559144,42.989043830751385
baseline,68.0,20.21932,14.695224,34.914544,42.08911907885722
baseline,69.0,20.274472,14.43656,34.711032,41.59069658314971
baseline,70.0,20.310712,15.128952,35.439664,42.68932120801146
baseline,71.0,20.28604,15.595864,35.881904,43.464427082799176
baseline,72.0,20.291856,14.68492,34.976776,41.984772981935215
baseline,73.0,20.28608,17.511744,37.797824,46.33003212036756
baseline,74.0,20.275584,15.25056,35.526144,42.92770980154784
baseline,75.0,20.283368,15.572712,35.85608,43.4311614655032
baseline,76.0,20.274832,15.871144,36.145976,43.908467155514074
baseline,77.0,20.284176,16.232128,36.516304,44.451727644725494
baseline,78.0,20.289104,14.661888,34.950992,41.94984794709117
baseline,79.0,20.2776,15.059288,35.336888,42.61633905056948
baseline,80.0,20.29612,15.121456,35.417576,42.6947795636833
baseline,81.0,20.289272,16.240904,36.530176,44.45887148203173
baseline,82.0,20.300664,16.78132,37.081984,45.25464441169059
baseline,83.0,20.307448,15.953072,36.26052,43.9957066252773
baseline,84.0,20.30608,15.68544,35.99152,43.580932397409164
baseline,85.0,20.306128,15.462496,35.768624,43.22921675712211
baseline,86.0,20.2586,15.429312,35.687912,43.23400035283655
baseline,87.0,20.263992,14.945744,35.209736,42.44775933565648
baseline,88.0,20.281104,15.275464,35.556568,42.96101918497871
baseline,89.0,20.27128,14.72516,34.99644,42.07616546140122
baseline,90.0,23.538472,14.865888,38.40436,38.70885493209625
baseline,91.0,33.705016,9.907048,43.612064,22.71630161782758
baseline,92.0,35.45692,8.092096,43.549016,18.581581728505643
baseline,93.0,35.983016,6.755064,42.73808,15.805726415412206
baseline,94.0,35.675864,5.821704,41.497568,14.029024544281727
baseline,95.0,35.698752,4.603672,40.302424,11.42281665241773
baseline,96.0,35.085592,4.851928,39.93752,12.148796420008052
baseline,97.0,36.268416,4.446328,40.714744,10.92068268929801
baseline,98.0,37.098376,5.44168,42.540056,12.79189665382669
baseline,99.0,38.009912,6.00428,44.014192,13.641690843716953
baseline,100.0,39.411144,5.800464,45.211608,12.82959013534754
baseline,101.0,39.946112,5.713,45.659112,12.512288894273722
baseline,102.0,39.971736,4.578384,44.55012,10.276928546993814
baseline,103.0,39.997,4.253256,44.250256,9.611822358722625
baseline,104.0,39.985008,4.42324,44.408248,9.960401950556571
baseline,105.0,39.96988,3.720952,43.690832,8.516551023793733
baseline,106.0,39.99184,3.218784,43.210624,7.449056972655614
baseline,107.0,39.992072,3.706024,43.698096,8.480973633267682
baseline,108.0,39.9946,3.60032,43.59492,8.258576916760026
baseline,109.0,39.65784,3.571448,43.229288,8.261639655041277
baseline,110.0,37.925392,3.971832,41.897224,9.479940723519057
baseline,111.0,39.387896,4.794344,44.18224,10.851292283958442
baseline,112.0,39.97776,5.807928,45.785688,12.685029435399114
baseline,113.0,39.940904,6.134552,46.075456,13.314142783524485
baseline,114.0,40.008984,7.00732,47.016304,14.904021379477214
baseline,115.0,40.003048,7.743816,47.746864,16.2184808619054
baseline,116.0,39.9944,8.370176,48.364576,17.306418648227165
baseline,117.0,39.90932,8.90124,48.81056,18.23629968596959
baseline,118.0,39.909008,9.287152,49.19616,18.877798592410464
baseline,119.0,39.857344,9.421648,49.278992,19.11899496645548
baseline,120.0,39.89092,10.13348,50.0244,20.25707454762076
baseline,121.0,39.97868,11.30556,51.28424,22.044901123620043
baseline,122.0,39.986616,11.47232,51.458936,22.294125941508003
baseline,123.0,39.784952,11.811784,51.596736,22.89250234743531
baseline,124.0,39.852384,11.549248,51.401632,22.46864068440473
baseline,125.0,37.385448,10.22416,47.609608,21.474993030818485
baseline,126.0,32.83228,6.716928,39.549208,16.983723163305825
baseline,127.0,32.719112,7.59044,40.309552,18.830375490156776
baseline,128.0,33.740296,5.749064,39.48936,14.558513989591122
baseline,129.0,32.61784,6.195952,38.813792,15.963274085665219
baseline,130.0,33.491984,7.691848,41.183832,18.676863289457863
baseline,131.0,34.214608,5.650352,39.86496,14.173730514215993
baseline,132.0,32.785376,6.767464,39.55284,17.109931929034676
baseline,133.0,33.043136,7.772216,40.815352,19.042383855956945
baseline,134.0,33.699408,6.141304,39.840712,15.41464419611778
baseline,135.0,32.320896,7.804136,40.125032,19.449544613447287
baseline,136.0,32.068568,7.64588,39.714448,19.2521371567345
baseline,137.0,24.018696,13.015896,37.034592,35.1452393481208
baseline,138.0,20.308264,1.330056,21.63832,6.146761855818752
baseline,139.0,20.281504,0.281424,20.562928,1.3685988687992292
baseline,140.0,20.257048,0.285,20.542048,1.3873981795778103
baseline,141.0,20.275208,0.288064,20.563272,1.4008665547000496
baseline,142.0,20.267472,0.28928,20.556752,1.4072261999366438
baseline,143.0,20.273936,0.294168,20.568104,1.4302144718832617
baseline,144.0,20.279496,0.277776,20.557272,1.3512298713564719
baseline,145.0,20.2388,0.29108,20.52988,1.4178358568096843
baseline,146.0,20.281816,0.280792,20.562608,1.3655466271593566
baseline,147.0,20.270616,0.298936,20.569552,1.4532936837904882
baseline,148.0,20.278848,0.288088,20.566936,1.4007336824503174
baseline,149.0,20.266136,0.283272,20.549408,1.3784922660545744
baseline,150.0,20.254008,0.286824,20.540832,1.3963601863838815
baseline,151.0,20.27528,0.287528,20.562808,1.3982915173842017
baseline,152.0,20.243336,0.291616,20.534952,1.4200958443925265
baseline,153.0,20.258456,0.291736,20.550192,1.4196266390114505
baseline,154.0,20.262216,0.287576,20.549792,1.3994107580261639
baseline,155.0,20.294688,0.270168,20.564856,1.3137364054482075
baseline,156.0,20.291176,0.281384,20.57256,1.367763661887485
baseline,157.0,20.262256,0.29172,20.553976,1.4192874410284413
baseline,158.0,20.295264,0.271568,20.566832,1.3204172621237924
baseline,159.0,20.269904,0.293168,20.563072,1.4257013738025135
baseline,160.0,20.290176,0.26312,20.553296,1.2801839666007826
baseline,161.0,20.27016,0.3002,20.57036,1.4593813623096534
baseline,162.0,20.28716,0.27608,20.56324,1.3425899809563084
baseline,163.0,20.284584,0.276688,20.561272,1.3456755010098596
baseline,164.0,20.268544,0.294504,20.563048,1.4322001290859214
baseline,165.0,20.276464,0.293112,20.569576,1.424978327214912
baseline,166.0,20.278848,0.277688,20.556536,1.3508501626927805
baseline,167.0,20.276352,0.278384,20.554736,1.3543545390220533
baseline,168.0,20.293824,0.282712,20.576536,1.3739533223667968
baseline,169.0,20.277408,0.28704,20.564448,1.3958069771675856
baseline,170.0,20.27536,0.286984,20.562344,1.3956774577839959
baseline,171.0,20.013496,0.28604,20.299536,1.4090962473230915
baseline,172.0,20.147256,0.275696,20.422952,1.349932174349722
baseline,173.0,20.281592,0.275208,20.5568,1.3387686799501868
baseline,174.0,20.224128,0.281968,20.506096,1.3750447671755754
baseline,175.0,20.269936,0.28876,20.558696,1.4045637913999993
baseline,176.0,20.290896,0.281104,20.572,1.3664398211160802
baseline,177.0,20.28992,0.271456,20.561376,1.3202229267146324
baseline,178.0,20.28096,0.29004,20.571,1.4099460405425113
baseline,179.0,20.283496,0.278608,20.562104,1.3549586170753734
baseline,180.0,20.285584,0.287064,20.572648,1.3953672857281183
baseline,181.0,20.215328,0.275288,20.490616,1.3434832803464767
baseline,182.0,20.104456,0.295416,20.399872,1.4481267333442092
baseline,183.0,20.140312,0.263656,20.403968,1.2921800308645848
baseline,184.0,20.289224,0.28472,20.573944,1.383886337009569
baseline,185.0,20.284272,0.281016,20.565288,1.3664578876794724
baseline,186.0,20.299296,0.269152,20.568448,1.3085673746507271
baseline,187.0,20.267936,0.289888,20.557824,1.410110330743176
baseline,188.0,20.274064,0.287048,20.561112,1.3960723525070045
baseline,189.0,20.278464,0.292432,20.570896,1.4215812476034102
baseline,190.0,20.290304,0.280088,20.570392,1.361607498777855
baseline,191.0,20.292416,0.2762,20.568616,1.3428224825627548
baseline,192.0,20.290056,0.2746,20.564656,1.3353007217820712
baseline,193.0,20.281984,0.28724,20.569224,1.396455209005454
baseline,194.0,20.282224,0.282176,20.5644,1.372157709439614
baseline,195.0,20.272336,0.2876,20.559936,1.3988370391814449
baseline,196.0,20.282216,0.281552,20.563768,1.3691654175441
baseline,197.0,20.292872,0.282392,20.575264,1.3724829970589927
baseline,198.0,20.279536,0.278568,20.558104,1.3550276815410605
baseline,199.0,20.052848,0.290912,20.34376,1.4299814783501181
baseline,200.0,19.7736,0.278872,20.052472,1.390711329755254
baseline,201.0,19.69108,0.26852,19.9596,1.345317541433696
baseline,202.0,19.95956,0.262128,20.221688,1.2962716069993763
baseline,203.0,20.276128,0.285792,20.56192,1.3899091135458168
baseline,204.0,20.287904,0.279168,20.567072,1.3573541241067275
baseline,205.0,20.295272,0.276088,20.57136,1.342098918107505
baseline,206.0,20.29588,0.27616,20.57204,1.34240454519824
baseline,207.0,20.268608,0.295184,20.563792,1.4354550950525078
baseline,208.0,20.282904,0.287088,20.569992,1.3956641305451163
baseline,209.0,20.288576,0.279456,20.568032,1.3586910016476055
baseline,210.0,20.3684,0.134904,20.503304,0.6579622484259122
baseline,211.0,20.555,0.003016,20.558016,0.014670676392118772
baseline,212.0,20.556648,0.01352,20.570168,0.06572624978075045
baseline,213.0,20.562072,0.020816,20.582888,0.10113255243870539
baseline,214.0,20.560088,0.02568,20.585768,0.12474637817738936
baseline,215.0,20.528072,0.029352,20.557424,0.14278053514876185
baseline,216.0,20.544672,0.036648,20.58132,0.17806438071027514
baseline,217.0,20.54468,0.038448,20.583128,0.18679376623417004
baseline,218.0,20.532848,0.042728,20.575576,0.2076636882486303
baseline,219.0,20.543528,0.044528,20.588056,0.21628074063913563
baseline,220.0,20.532112,0.048784,20.580896,0.23703535550638807
baseline,221.0,20.52608,0.053064,20.579144,0.25785329069080815
baseline,222.0,20.52264,0.05304,20.57568,0.25778005878785054
baseline,223.0,20.518896,0.058512,20.577408,0.28435068206841213
baseline,224.0,20.530896,0.059728,20.590624,0.2900737733834584
baseline,225.0,20.521024,0.061528,20.582552,0.29893280483391954
baseline,226.0,0.446744,0.001848,0.448592,0.4119556300602775
loss_qaccess_l,0.0,0.013816,0.02784,0.041656,66.83310927597465
loss_qaccess_l,1.0,0.028904,0.036144,0.065048,55.56512114131104
loss_qaccess_l,2.0,0.169168,0.053328,0.222496,23.96807133611391
loss_qaccess_l,3.0,0.016936,0.001624,0.01856,8.75
loss_qaccess_l,4.0,0.00852,0.00852,0.01704,50.0
loss_qaccess_l,5.0,0.013824,0.006912,0.020736,33.33333333333333
loss_qaccess_l,6.0,0.006912,0.013824,0.020736,66.66666666666666
loss_qaccess_l,7.0,10.04748,0.176648,10.224128,1.727756147027893
loss_qaccess_l,8.0,27.452928,7.561904,35.014832,21.596288110135728
loss_qaccess_l,9.0,28.78968,8.741368,37.531048,23.291030935240602
loss_qaccess_l,10.0,29.233896,9.18468,38.418576,23.906872550403744
loss_qaccess_l,11.0,29.306288,9.320568,38.626856,24.129760910388356
loss_qaccess_l,12.0,29.853584,6.36744,36.221024,17.57940360824697
loss_qaccess_l,13.0,29.027208,7.70304,36.730248,20.97192482882228
loss_qaccess_l,14.0,28.896424,8.416992,37.313416,22.55754873796599
loss_qaccess_l,15.0,29.952344,9.880896,39.83324,24.805654774755958
loss_qaccess_l,16.0,29.850632,9.921136,39.771768,24.945172163329527
loss_qaccess_l,17.0,30.363144,10.365176,40.72832,25.449554511455418
loss_qaccess_l,18.0,30.99092,10.981872,41.972792,26.164263744951732
loss_qaccess_l,19.0,31.069288,10.941392,42.01068,26.044310637199874
loss_qaccess_l,20.0,31.153408,11.129928,42.283336,26.32225612472961
loss_qaccess_l,21.0,32.17452,12.13648,44.311,27.389316422558736
loss_qaccess_l,22.0,32.215464,12.09388,44.309344,27.294197810737163
loss_qaccess_l,23.0,31.411176,11.485408,42.896584,26.774644806215804
loss_qaccess_l,24.0,32.42316,12.41232,44.83548,27.68414657320497
loss_qaccess_l,25.0,32.085832,11.96576,44.051592,27.163059169348525
loss_qaccess_l,26.0,31.08336,11.321672,42.405032,26.69888799989586
loss_qaccess_l,27.0,30.314528,8.838576,39.153104,22.574394101678376
loss_qaccess_l,28.0,30.62952,8.496344,39.125864,21.715415664686663
loss_qaccess_l,29.0,31.192384,9.812176,41.00456,23.929475160811382
loss_qaccess_l,30.0,30.41084,9.672608,40.083448,24.13117753742143
loss_qaccess_l,31.0,30.261048,10.018664,40.279712,24.87272997383894
loss_qaccess_l,32.0,29.979416,10.332056,40.311472,25.630559955736672
loss_qaccess_l,33.0,30.062664,9.737928,39.800592,24.466791850734282
loss_qaccess_l,34.0,29.801152,9.024608,38.82576,23.24386695843172
loss_qaccess_l,35.0,30.38068,9.910288,40.290968,24.59679797219069
loss_qaccess_l,36.0,28.8568,10.028144,38.884944,25.789272063758144
loss_qaccess_l,37.0,30.04116,9.555352,39.596512,24.131802316325235
loss_qaccess_l,38.0,30.156008,10.279568,40.435576,25.42208870723147
loss_qaccess_l,39.0,29.255632,9.721968,38.9776,24.94244899634662
loss_qaccess_l,40.0,30.23124,10.583184,40.814424,25.930009449600465
loss_qaccess_l,41.0,30.268208,9.973392,40.2416,24.783785932964893
loss_qaccess_l,42.0,30.004736,10.017616,40.022352,25.030053206268338
loss_qaccess_l,43.0,29.791208,9.671448,39.462656,24.507848635428896
loss_qaccess_l,44.0,30.12364,9.358512,39.482152,23.70314566440046
loss_qaccess_l,45.0,29.45536,9.938816,39.394176,25.229150623686103
loss_qaccess_l,46.0,30.380368,10.588504,40.968872,25.845241724009387
loss_qaccess_l,47.0,30.119576,10.096496,40.216072,25.10562443791129
loss_qaccess_l,48.0,29.599312,10.048248,39.64756,25.343925326047806
loss_qaccess_l,49.0,30.2638,10.630752,40.894552,25.995521359422153
loss_qaccess_l,50.0,29.064176,10.735512,39.799688,26.97385969457851
loss_qaccess_l,51.0,29.826976,9.644984,39.47196,24.435026788636794
loss_qaccess_l,52.0,30.408216,10.239528,40.647744,25.190888822759756
loss_qaccess_l,53.0,29.630712,9.484912,39.115624,24.248397520131597
loss_qaccess_l,54.0,29.754544,10.78704,40.541584,26.607347162360504
loss_qaccess_l,55.0,28.904784,10.334168,39.238952,26.336503584499404
loss_qaccess_l,56.0,29.27796,11.253592,40.531552,27.765016252030023
loss_qaccess_l,57.0,29.451696,11.024416,40.476112,27.23684527802473
loss_qaccess_l,58.0,29.1354,10.467288,39.602688,26.430751367179923
loss_qaccess_l,59.0,29.446736,10.408528,39.855264,26.115817473947732
loss_qaccess_l,60.0,29.708048,10.812224,40.520272,26.68349314140833
loss_qaccess_l,61.0,26.213312,8.590352,34.803664,24.68232080392455
loss_qaccess_l,62.0,29.9792,11.173376,41.152576,27.15109741854313
loss_qaccess_l,63.0,29.605512,10.481168,40.08668,26.146261052299668
loss_qaccess_l,64.0,28.949536,10.329832,39.279368,26.29836610405748
loss_qaccess_l,65.0,29.11428,10.744848,39.859128,26.957057364626742
loss_qaccess_l,66.0,30.510528,10.263416,40.773944,25.17150658763842
loss_qaccess_l,67.0,30.50652,9.295776,39.802296,23.354873799240124
loss_qaccess_l,68.0,30.452648,9.322696,39.775344,23.438379313576775
loss_qaccess_l,69.0,31.195696,9.265512,40.461208,22.899741401690232
loss_qaccess_l,70.0,31.524,8.909888,40.433888,22.0356944155358
loss_qaccess_l,71.0,29.257528,8.858528,38.116056,23.240935525963128
loss_qaccess_l,72.0,30.907776,10.27732,41.185096,24.953978497464227
loss_qaccess_l,73.0,30.226168,9.934976,40.161144,24.737781373956878
loss_qaccess_l,74.0,30.004192,9.29332,39.297512,23.648621826236734
loss_qaccess_l,75.0,29.435368,9.002064,38.437432,23.420045334974514
loss_qaccess_l,76.0,29.072456,9.114416,38.186872,23.867930319089766
loss_qaccess_l,77.0,31.83296,12.148616,43.981576,27.622057017693045
loss_qaccess_l,78.0,30.498536,9.967768,40.466304,24.632266885554955
loss_qaccess_l,79.0,30.151024,9.860568,40.011592,24.644278088210037
loss_qaccess_l,80.0,30.116408,9.80392,39.920328,24.558716050629645
loss_qaccess_l,81.0,29.763976,9.784656,39.548632,24.74082036516459
loss_qaccess_l,82.0,30.01356,10.366528,40.380088,25.672375949254988
loss_qaccess_l,83.0,30.134728,9.230808,39.365536,23.44895799208729
loss_qaccess_l,84.0,30.72152,10.119152,40.840672,24.777143725744768
