method,time_s,total_mbps,pathA_mbps,pathB_mbps,path_b_share_pct
baseline,0.0,0.05568,0.02784,0.02784,50.0
baseline,1.0,0.074864,0.040888,0.033976,45.3836289805514
baseline,2.0,0.161424,0.12092,0.040504,25.09168401229061
baseline,3.0,0.042143999999999994,0.03772,0.004424,10.497342444950647
baseline,4.0,0.027648,0.013824,0.013824,50.0
baseline,5.0,0.041471999999999995,0.013824,0.027648,66.66666666666667
baseline,6.0,0.03456,0.020736,0.013824,40.0
baseline,7.0,0.003248,0.001624,0.001624,50.0
baseline,8.0,0.0,0.0,0.0,nan
baseline,9.0,0.101768,0.069296,0.032472,31.907868878232843
baseline,10.0,11.537616,11.162736,0.37488,3.2491981012368587
baseline,11.0,22.781616,21.087232,1.694384,7.437505750250553
baseline,12.0,22.787640000000003,21.269048,1.518592,6.664103873854421
baseline,13.0,22.984592000000003,21.05308,1.931512,8.403507880409622
baseline,14.0,22.373408,21.316872,1.056536,4.722284597858314
baseline,15.0,21.16808,20.713072,0.455008,2.1495005687809194
baseline,16.0,21.770688,21.314968,0.45572,2.0932733039948026
baseline,17.0,21.74428,21.300296,0.443984,2.0418427282945215
baseline,18.0,21.826664,21.388016,0.438648,2.0096887000230543
baseline,19.0,21.853944000000002,21.41476,0.439184,2.0096326777445754
baseline,20.0,21.870384,21.430536,0.439848,2.0111581031224692
baseline,21.0,21.576007999999998,21.13376,0.442248,2.0497211532365025
baseline,22.0,21.575496,21.135048,0.440448,2.0414269966261727
baseline,23.0,21.871568,21.433584,0.437984,2.002526750711243
baseline,24.0,22.005384,21.563136,0.442248,2.0097263469703597
baseline,25.0,22.052528,21.61508,0.437448,1.98366373233944
baseline,26.0,22.072152,21.632904,0.439248,1.9900551609104544
baseline,27.0,21.342784,20.904136,0.438648,2.0552520233536544
baseline,28.0,22.143472,21.701824,0.441648,1.9944839725224661
baseline,29.0,22.157384,21.718136,0.439248,1.9824000883858852
baseline,30.0,22.205264,21.766016,0.439248,1.9781255471675547
baseline,31.0,22.071384,21.632976,0.438408,1.9863185743132377
baseline,32.0,21.44888,21.012632,0.436248,2.0338964085770446
baseline,33.0,22.276487999999997,21.83844,0.438048,1.9664140954355105
baseline,34.0,22.285296000000002,21.845448,0.439848,1.9737139681698639
baseline,35.0,22.357968,21.91992,0.438048,1.9592478171540455
baseline,36.0,22.198031999999998,21.761784,0.436248,1.965255298307526
baseline,37.0,21.608872,21.173192,0.43568,2.016208897900825
baseline,38.0,20.899520000000003,20.496272,0.403248,1.9294605809128629
baseline,39.0,22.43932,22.010848,0.428472,1.909469627421865
