method,time_s,pathA_mbps,pathB_mbps,total_mbps,path_b_share_pct
baseline,0.0,0.034736,0.010024,0.04476,nan
baseline,1.0,0.029168,0.029632,0.0588,nan
baseline,2.0,0.037184,0.03252,0.069704,nan
baseline,3.0,0.125096,0.031744,0.15684,nan
baseline,4.0,0.00624,0.002216,0.008456,nan
baseline,5.0,0.006912,0.006912,0.013824,nan
baseline,6.0,0.020736,0.03456,0.055296,nan
baseline,7.0,0.015448,0.015448,0.030896,nan
baseline,8.0,0.0,0.0,0.0,nan
baseline,9.0,0.0,0.0,0.0,nan
baseline,10.0,0.121008,0.03396,0.154968,nan
baseline,11.0,15.682848,0.598952,16.2818,nan
baseline,12.0,21.413752,1.421272,22.835023999999997,nan
baseline,13.0,20.496648,1.974272,22.47092,nan
baseline,14.0,21.299976,1.453488,22.753464,nan
baseline,15.0,21.418008,2.020752,23.438760000000002,nan
baseline,16.0,21.22148,1.873064,23.094544,nan
baseline,17.0,22.10476,1.768008,23.872768,nan
baseline,18.0,21.529552,2.101184,23.630736,nan
baseline,19.0,21.464408,1.5844,23.048807999999998,nan
baseline,20.0,22.0718,2.124696,24.196496,nan
baseline,21.0,21.47536,1.6166,23.09196,nan
baseline,22.0,21.557168,2.18468,23.741848,nan
baseline,23.0,21.993776,1.639472,23.633248000000002,nan
baseline,24.0,21.814848,2.218584,24.033432,nan
baseline,25.0,21.500416,2.230128,23.730544000000002,nan
baseline,26.0,21.597544,0.340152,21.937696,nan
baseline,27.0,22.225424,0.290784,22.516208,nan
baseline,28.0,21.408608,0.410856,21.819464,nan
baseline,29.0,20.169448,0.732424,20.901871999999997,nan
baseline,30.0,21.81052,1.132424,22.942944,nan
baseline,31.0,21.925912,0.8972,22.823112000000002,nan
baseline,32.0,21.4904,1.242552,22.732952,nan
baseline,33.0,21.688712,0.948864,22.637576,nan
baseline,34.0,22.2042,1.282888,23.487088,nan
baseline,35.0,21.575456,1.023472,22.598928,nan
baseline,36.0,21.729512,1.325968,23.05548,nan
baseline,37.0,21.724312,1.065592,22.789904,nan
baseline,38.0,22.468096,1.41408,23.882175999999998,nan
baseline,39.0,21.81344,1.092592,22.906032,nan
baseline,40.0,21.816616,1.504528,23.321144,nan
baseline,41.0,22.50208,1.12416,23.62624,nan
baseline,42.0,21.89728,1.55352,23.450799999999997,nan
baseline,43.0,21.842216,1.202264,23.04448,nan
baseline,44.0,21.847384,1.658816,23.506200000000003,nan
baseline,45.0,22.62852,1.246096,23.874616000000003,nan
baseline,46.0,21.859576,1.735552,23.595128,nan
baseline,47.0,21.864816,1.315064,23.17988,nan
baseline,48.0,22.556456,1.798976,24.355432,nan
baseline,49.0,21.957608,1.342632,23.300240000000002,nan
baseline,50.0,21.907344,1.888656,23.796,nan
baseline,51.0,21.892344,1.397024,23.289368000000003,nan
baseline,52.0,22.681168,1.974864,24.656032,nan
baseline,53.0,21.897904,1.478992,23.376896000000002,nan
baseline,54.0,21.912528,2.080072,23.9926,nan
baseline,55.0,22.5534,1.578072,24.131472,nan
baseline,56.0,22.037008,2.133688,24.170696,nan
baseline,57.0,21.944936,1.78848,23.733416,nan
baseline,58.0,21.909312,2.03012,23.939432,nan
baseline,59.0,22.631528,1.91788,24.549408,nan
baseline,60.0,21.982184,2.032264,24.014448,nan
baseline,61.0,21.944736,2.02292,23.967655999999998,nan
baseline,62.0,22.521824,2.066256,24.588079999999998,nan
baseline,63.0,22.087184,2.147808,24.234992000000002,nan
baseline,64.0,21.936104,2.098712,24.034816,nan
baseline,65.0,21.960448,2.234704,24.195152,nan
baseline,66.0,22.586904,2.189296,24.7762,nan
baseline,67.0,22.027112,2.303368,24.330479999999998,nan
baseline,68.0,21.94612,2.2744,24.22052,nan
baseline,69.0,22.461944,2.377008,24.838952,nan
baseline,70.0,22.137976,2.328992,24.466967999999998,nan
baseline,71.0,21.982352,2.478312,24.460663999999998,nan
baseline,72.0,22.003808,2.290792,24.2946,nan
baseline,73.0,22.64736,2.602024,25.249384,nan
baseline,74.0,22.104664,2.2414,24.346064,nan
baseline,75.0,22.04612,2.64944,24.695559999999997,nan
baseline,76.0,22.340808,2.267944,24.608752,nan
baseline,77.0,22.42228,2.692408,25.114688,nan
baseline,78.0,22.104912,2.30604,24.410951999999998,nan
baseline,79.0,22.09164,2.707976,24.799616,nan
baseline,80.0,22.734024,2.356744,25.090768,nan
baseline,81.0,22.08368,2.747576,24.831256,nan
baseline,82.0,22.120504,2.404768,24.525272,nan
baseline,83.0,22.13496,2.798632,24.933592,nan
baseline,84.0,22.889528,2.441984,25.331512,nan
baseline,85.0,22.243128,2.878376,25.121503999999998,nan
baseline,86.0,22.16972,2.441112,24.610832000000002,nan
baseline,87.0,22.754392,2.87728,25.631672,nan
baseline,88.0,22.466536,2.47852,24.945056,nan
baseline,89.0,22.220864,2.891304,25.112167999999997,nan
baseline,90.0,22.221696,2.51928,24.740976000000003,nan
baseline,91.0,22.963608,2.9304,25.894008,nan
baseline,92.0,22.404248,2.54572,24.949968,nan
baseline,93.0,22.27836,2.963136,25.241495999999998,nan
baseline,94.0,22.589744,2.556592,25.146335999999998,nan
baseline,95.0,22.723704,2.994488,25.718192000000002,nan
baseline,96.0,22.468856,2.595896,25.064752,nan
baseline,97.0,22.317168,3.03936,25.356527999999997,nan
baseline,98.0,22.948768,2.631536,25.580304,nan
baseline,99.0,22.553568,3.040096,25.593663999999997,nan
baseline,100.0,22.478672,2.698088,25.176759999999998,nan
baseline,101.0,22.528336,3.123992,25.652328,nan
baseline,102.0,22.954896,2.720304,25.6752,nan
baseline,103.0,22.575256,3.157936,25.733192,nan
baseline,104.0,22.489328,2.715768,25.205096,nan
baseline,105.0,22.957512,3.17368,26.131192000000002,nan
baseline,106.0,22.587472,2.763072,25.350544000000003,nan
baseline,107.0,22.577048,3.212504,25.789552,nan
baseline,108.0,22.379824,2.756016,25.135839999999998,nan
baseline,109.0,23.051568,3.260432,26.312,nan
baseline,110.0,22.719848,2.824256,25.544103999999997,nan
baseline,111.0,22.672248,3.308544,25.980792,nan
baseline,112.0,22.722688,2.885976,25.608664,nan
baseline,113.0,23.074264,3.285968,26.360232,nan
baseline,114.0,22.74076,3.038728,25.779488,nan
baseline,115.0,22.67212,3.20316,25.87528,nan
baseline,116.0,23.158832,3.03984,26.198672000000002,nan
baseline,117.0,22.844424,3.274016,26.11844,nan
baseline,118.0,22.816536,3.095376,25.911912,nan
baseline,119.0,22.639184,3.286208,25.925392,nan
baseline,120.0,23.267088,3.115592,26.38268,nan
baseline,121.0,22.829112,3.343064,26.172176,nan
baseline,122.0,22.7704,3.109408,25.879807999999997,nan
baseline,123.0,23.15908,3.375848,26.534928,nan
baseline,124.0,22.943424,3.14668,26.090104,nan
baseline,125.0,22.931304,3.422488,26.353792000000002,nan
baseline,126.0,22.71676,3.181536,25.898296000000002,nan
baseline,127.0,23.320792,3.447936,26.768728,nan
baseline,128.0,22.989928,3.216504,26.206432,nan
baseline,129.0,22.84404,3.488904,26.332943999999998,nan
baseline,130.0,23.08392,3.217816,26.301736,nan
baseline,131.0,23.205144,3.507288,26.712432,nan
baseline,132.0,23.029864,3.253904,26.283768,nan
baseline,133.0,22.87088,3.553704,26.424584,nan
baseline,134.0,23.326472,3.278808,26.60528,nan
baseline,135.0,23.202144,3.601096,26.803240000000002,nan
baseline,136.0,22.996072,3.280368,26.27644,nan
baseline,137.0,22.838944,3.711912,26.550856000000003,nan
baseline,138.0,23.604392,3.259304,26.863696,nan
baseline,139.0,23.049408,3.712328,26.761736,nan
baseline,140.0,23.035592,3.29428,26.329872,nan
baseline,141.0,23.35284,3.77172,27.124560000000002,nan
baseline,142.0,23.003856,3.326224,26.33008,nan
baseline,143.0,23.193808,3.781272,26.975080000000002,nan
baseline,144.0,23.006176,3.364728,26.370904,nan
baseline,145.0,23.500536,3.828136,27.328672,nan
baseline,146.0,23.332824,3.392592,26.725416,nan
baseline,147.0,23.13316,3.831712,26.964872,nan
baseline,148.0,23.134712,3.464648,26.59936,nan
baseline,149.0,23.624,3.866064,27.490064,nan
baseline,150.0,23.296264,3.507152,26.803416000000002,nan
baseline,151.0,23.193408,3.88192,27.075328000000003,nan
baseline,152.0,23.552288,3.501272,27.05356,nan
baseline,153.0,23.332264,3.933384,27.265648,nan
baseline,154.0,23.3622,3.5812,26.9434,nan
baseline,155.0,23.224024,3.924248,27.148272,nan
baseline,156.0,23.7642,3.57844,27.34264,nan
baseline,157.0,23.381088,3.959368,27.340456,nan
baseline,158.0,23.392016,3.658488,27.050504000000004,nan
baseline,159.0,23.270824,3.942192,27.213016,nan
baseline,160.0,23.769864,3.72088,27.490744,nan
baseline,161.0,23.488256,3.970936,27.459192,nan
baseline,162.0,23.374312,3.828872,27.203184,nan
baseline,163.0,23.713208,3.90956,27.622768,nan
baseline,164.0,23.566904,3.856792,27.423696,nan
baseline,165.0,23.485272,3.970096,27.455368,nan
baseline,166.0,23.400936,3.860672,27.261608000000003,nan
baseline,167.0,23.905568,4.011216,27.916784,nan
baseline,168.0,23.51224,3.897736,27.409976,nan
baseline,169.0,23.544888,4.004056,27.548944,nan
baseline,170.0,23.458432,3.929448,27.38788,nan
baseline,171.0,23.991416,4.086528,28.077944000000002,nan
baseline,172.0,23.55952,3.925296,27.484816,nan
baseline,173.0,23.458848,4.141024,27.599871999999998,nan
baseline,174.0,23.866584,3.961688,27.828272,nan
baseline,175.0,23.758232,4.151584,27.909816,nan
baseline,176.0,23.601472,4.043544,27.645016000000002,nan
baseline,177.0,23.547816,4.154984,27.7028,nan
baseline,178.0,24.085424,4.055728,28.141151999999998,nan
baseline,179.0,23.702128,4.198384,27.900512,nan
baseline,180.0,23.61336,4.071768,27.685128,nan
baseline,181.0,23.667392,4.19396,27.861352,nan
baseline,182.0,24.143848,4.089752,28.2336,nan
baseline,183.0,22.925096,4.24924,27.174336,nan
baseline,184.0,20.28244,4.217856,24.500296000000002,nan
baseline,185.0,20.28724,4.221568,24.508808000000002,nan
baseline,186.0,20.198208,4.270736,24.468944,nan
baseline,187.0,20.253032,4.405928,24.65896,nan
baseline,188.0,20.263888,4.344472,24.60836,nan
baseline,189.0,20.272016,4.445384,24.7174,nan
baseline,190.0,20.287608,4.495784,24.783392,nan
baseline,191.0,20.355016,4.512608,24.867624,nan
baseline,192.0,20.350792,4.620096,24.970888,nan
baseline,193.0,20.39628,4.5938,24.99008,nan
baseline,194.0,20.415832,4.758784,25.174616,nan
baseline,195.0,20.405192,4.648728,25.053919999999998,nan
baseline,196.0,20.38856,4.986352,25.374912,nan
baseline,197.0,20.443376,4.653496,25.096872,nan
baseline,198.0,20.453992,5.11504,25.569032,nan
baseline,199.0,20.446384,4.66792,25.114303999999997,nan
baseline,200.0,20.451248,5.267048,25.718296,nan
baseline,201.0,20.513184,4.785192,25.298375999999998,nan
baseline,202.0,20.498456,5.30008,25.798536000000002,nan
baseline,203.0,20.503952,4.909048,25.413000000000004,nan
baseline,204.0,20.530272,5.41528,25.945552,nan
baseline,205.0,20.613768,4.999088,25.612856,nan
baseline,206.0,20.53308,5.450984,25.984064000000004,nan
baseline,207.0,20.55232,5.140112,25.692432000000004,nan
baseline,208.0,20.627304,5.516072,26.143376,nan
baseline,209.0,20.6182,5.228216,25.846416,nan
baseline,210.0,20.626176,5.5908,26.216976000000003,nan
baseline,211.0,20.661448,5.319432,25.98088,nan
baseline,212.0,20.779024,5.671384,26.450408,nan
