method,window,t_lo,t_hi,total_mbps_mean,pathA_mbps_mean,pathB_mbps_mean,path_b_share_pct_mean
baseline,0-50,0.0,50.0,17.93466976,16.84090928,1.09376048,nan
baseline,50-100,50.0,100.0,24.6540744,22.27982016,2.37425424,nan
baseline,100-150,100.0,150.0,26.23814432,22.95874976,3.27939456,nan
baseline,150-200,150.0,200.0,26.66238816,22.52818896,4.1341992,nan
baseline,0-200,0.0,200.0,23.87231916,21.15191704,2.72040212,nan
qaccess_t,0-50,0.0,50.0,18.97917168,17.85796256,1.12120912,nan
qaccess_t,50-100,50.0,100.0,23.70840272,20.23560608,3.47279664,nan
qaccess_t,100-150,100.0,150.0,26.36925808,20.25678672,6.11247136,nan
qaccess_t,150-200,150.0,200.0,26.78457664,20.38739392,6.39718272,nan
qaccess_t,0-200,0.0,200.0,23.96035228,19.68443732,4.27591496,nan
