elapsed_s,throughput_mbps,bytes,packets
0.000,0.061360,7670,24
1.000,0.002992,374,4
2.000,0.000000,0,0
3.000,0.000000,0,0
4.000,0.000000,0,0
5.000,0.000000,0,0
6.000,0.000000,0,0
7.000,0.073888,9236,26
8.000,1.104296,138037,750
9.000,3.261776,407722,1159
10.000,2.707016,338377,1080
11.000,3.896080,487010,1228
12.000,2.811768,351471,1140
13.000,3.426136,428267,1193
14.000,3.505696,438212,1205
15.000,3.485144,435643,1206
16.000,2.965344,370668,1152
17.000,4.155184,519398,1262
18.000,3.302856,412857,1178
19.000,3.355160,419395,1196
20.000,4.310944,538868,1279
21.000,3.141944,392743,1172
22.000,3.706496,463312,1222
23.000,2.434872,304359,1105
24.000,1.827552,228444,1048
25.000,1.950112,243764,1040
26.000,2.278576,284822,1044
27.000,3.352920,419115,1182
28.000,2.499064,312383,1107
29.000,2.821176,352647,1141
30.000,2.725520,340690,1129
31.000,3.426584,428323,1194
32.000,2.655328,331916,1125
33.000,3.003128,375391,1160
34.000,3.427640,428455,1197
35.000,3.097224,387153,1172
36.000,2.772776,346597,1154
37.000,3.184336,398042,1183
38.000,3.545496,443187,1214
39.000,3.271744,408968,1187
40.000,2.925768,365721,1157
41.000,4.039304,504913,1259
42.000,3.078168,384771,1170
43.000,3.442272,430284,1203
44.000,3.298392,412299,1193
45.000,4.056512,507064,1254
46.000,3.382832,422854,1194
47.000,3.393744,424218,1197
48.000,4.115872,514484,1263
49.000,3.536328,442041,1212
50.000,3.564656,445582,1215
51.000,3.538664,442333,1210
52.000,4.417328,552166,1291
53.000,3.614472,451809,1217
54.000,3.844320,480540,1241
55.000,4.184896,523112,1270
56.000,4.072312,509039,1258
57.000,3.606840,450855,1220
58.000,4.023496,502937,1255
59.000,4.325704,540713,1285
60.000,4.205336,525667,1272
61.000,3.757104,469638,1233
62.000,4.763416,595427,1324
63.000,3.947816,493477,1250
64.000,4.279200,534900,1278
65.000,3.928376,491047,1248
66.000,5.004184,625523,1344
67.000,4.046840,505855,1262
68.000,4.444184,555523,1294
69.000,4.389088,548636,1287
70.000,4.837632,604704,1334
71.000,4.081584,510198,1263
72.000,4.589600,573700,1308
73.000,4.754024,594253,1323
74.000,4.731592,591449,1320
75.000,4.184672,523084,1272
76.000,4.885600,610700,1334
77.000,4.820888,602611,1330
78.000,4.827880,603485,1319
79.000,4.311960,538995,1287
80.000,5.429784,678723,1392
81.000,4.620200,577525,1312
82.000,4.948808,618601,1340
83.000,4.394536,549317,1295
84.000,5.783032,722879,1418
85.000,4.647944,580993,1310
86.000,4.946576,618322,1342
87.000,5.207504,650938,1361
88.000,5.146464,643308,1363
89.000,4.930576,616322,1335
90.000,4.911640,613955,1337
91.000,5.509600,688700,1391
92.000,5.154752,644344,1358
93.000,5.011000,626375,1347
94.000,5.362624,670328,1381
95.000,5.451272,681409,1387
96.000,5.290448,661306,1367
97.000,5.074584,634323,1354
98.000,5.727200,715900,1414
99.000,5.363152,670394,1379
100.000,5.366080,670760,1378
101.000,5.222248,652781,1364
102.000,5.904472,738059,1426
103.000,5.392928,674116,1377
104.000,5.474632,684329,1387
105.000,5.686976,710872,1404
106.000,5.706816,713352,1408
107.000,5.636920,704615,1403
108.000,5.443144,680393,1386
109.000,6.038360,754795,1441
110.000,5.751120,718890,1417
111.000,5.627856,703482,1402
112.000,5.731320,716415,1410
113.000,6.082048,760256,1446
114.000,5.931208,741401,1431
115.000,5.607000,700875,1405
116.000,6.295512,786939,1463
117.000,5.809104,726138,1420
118.000,6.061000,757625,1445
119.000,5.659160,707395,1409
120.000,6.487624,810953,1485
121.000,5.997824,749728,1438
122.000,6.012880,751610,1440
123.000,6.282432,785304,1462
124.000,6.188992,773624,1461
125.000,6.231520,778940,1458
126.000,5.894568,736821,1426
127.000,6.615040,826880,1490
128.000,6.246168,780771,1470
129.000,6.285040,785630,1465
130.000,6.005344,750668,1441
131.000,6.897976,862247,1521
132.000,6.196552,774569,1458
133.000,6.381392,797674,1476
134.000,6.496928,812116,1483
135.000,6.708632,838579,1503
136.000,6.246816,780852,1462
137.000,6.427264,803408,1478
138.000,6.729416,841177,1507
139.000,6.635304,829413,1488
140.000,6.468024,808503,1485
141.000,6.663440,832930,1498
142.000,6.846256,855782,1515
143.000,6.711656,838957,1502
144.000,6.533184,816648,1488
145.000,7.137464,892183,1545
146.000,6.721744,840218,1508
147.000,6.870144,858768,1518
148.000,6.556488,819561,1491
149.000,7.275480,909435,1551
150.000,6.795968,849496,1514
151.000,7.042952,880369,1533
152.000,6.821016,852627,1511
153.000,7.393280,924160,1562
154.000,6.839608,854951,1513
155.000,7.156856,894607,1543
156.000,7.179296,897412,1541
157.000,7.346872,918359,1560
158.000,6.916824,864603,1522
159.000,7.211568,901446,1549
