elapsed_s,throughput_mbps,bytes,packets
0.000,0.044560,5570,18
1.000,0.002992,374,4
2.000,0.000000,0,0
3.000,0.000000,0,0
4.000,0.000000,0,0
5.000,0.000000,0,0
6.000,0.000000,0,0
7.000,0.039888,4986,13
8.000,0.532656,66582,327
9.000,1.357568,169696,539
10.000,1.361864,170233,545
11.000,1.943000,242875,593
12.000,1.395520,174440,573
13.000,1.414672,176834,569
14.000,2.032008,254001,625
15.000,1.451648,181456,580
16.000,1.447576,180947,568
17.000,2.100112,262514,635
18.000,1.489864,186233,572
19.000,1.503360,187920,578
20.000,2.165768,270721,640
21.000,1.524416,190552,578
22.000,1.545984,193248,579
23.000,2.193928,274241,633
24.000,1.587672,198459,578
25.000,1.595696,199462,573
26.000,1.593168,199146,545
27.000,2.287440,285930,616
28.000,1.667040,208380,566
29.000,1.641104,205138,556
30.000,1.841472,230184,578
31.000,2.195744,274468,613
32.000,1.706272,213284,560
33.000,1.731704,216463,569
34.000,2.425928,303241,632
35.000,1.750032,218754,574
36.000,1.743760,217970,581
37.000,1.759360,219920,572
38.000,2.475304,309413,639
39.000,1.787368,223421,575
40.000,1.777288,222161,572
41.000,2.472976,309122,642
42.000,1.863544,232943,580
43.000,1.799704,224963,577
44.000,1.805480,225685,588
45.000,2.580384,322548,669
46.000,1.839688,229961,598
47.000,1.827968,228496,601
48.000,2.486800,310850,661
49.000,1.937960,242245,613
50.000,1.830160,228770,600
51.000,1.850816,231352,599
52.000,2.575904,321988,670
53.000,1.883800,235475,607
54.000,1.893128,236641,611
55.000,2.445680,305710,656
56.000,1.992592,249074,615
57.000,1.886200,235775,609
58.000,1.873904,234238,607
59.000,2.528400,316050,668
60.000,1.954280,244285,612
61.000,1.885736,235717,606
62.000,2.426048,303256,655
63.000,2.008096,251012,618
64.000,1.895416,236927,604
65.000,1.870160,233770,605
66.000,2.513648,314206,662
67.000,1.990424,248803,618
68.000,1.907256,238407,608
69.000,2.294624,286828,644
70.000,2.246560,280820,645
71.000,1.990488,248811,617
72.000,1.951896,243987,612
73.000,2.624984,328123,674
74.000,2.072816,259102,622
75.000,2.018096,252262,618
76.000,2.189096,273637,635
77.000,2.603480,325435,674
78.000,2.092376,261547,619
79.000,2.048576,256072,605
80.000,2.625720,328215,657
81.000,2.320632,290079,626
82.000,2.087456,260932,607
83.000,2.097296,262162,607
84.000,2.877608,359701,680
85.000,2.256352,282044,639
86.000,2.123208,265401,625
87.000,2.675520,334440,679
88.000,2.416680,302085,660
89.000,2.317568,289696,643
90.000,2.183280,272910,633
91.000,2.852648,356581,696
92.000,2.418432,302304,655
93.000,2.315192,289399,648
94.000,2.494088,311761,661
95.000,2.752608,344076,684
96.000,2.453848,306731,655
97.000,2.309880,288735,645
98.000,2.873128,359141,700
99.000,2.564984,320623,671
100.000,2.477896,309737,660
101.000,2.407632,300954,650
102.000,3.001160,375145,708
103.000,2.529688,316211,664
104.000,2.500800,312600,659
105.000,2.832752,354094,690
106.000,2.727808,340976,685
107.000,2.671872,333984,677
108.000,2.439304,304913,654
109.000,3.084960,385620,719
110.000,2.662520,332815,675
111.000,2.682976,335372,680
112.000,2.588040,323505,671
113.000,3.134320,391790,723
114.000,2.740576,342572,681
115.000,2.615344,326918,671
116.000,3.062112,382764,690
117.000,2.821976,352747,670
118.000,2.793816,349227,669
119.000,2.569424,321178,644
120.000,3.253960,406745,710
121.000,2.799000,349875,666
122.000,2.815456,351932,669
123.000,3.010752,376344,687
124.000,2.983880,372985,693
125.000,2.929040,366130,680
126.000,2.687168,335896,658
127.000,3.283072,410384,710
128.000,3.004032,375504,691
129.000,2.863992,357999,676
130.000,2.794056,349257,666
131.000,3.408376,426047,724
132.000,2.981760,372720,687
133.000,2.848088,356011,669
134.000,3.259896,407487,707
135.000,3.161040,395130,701
136.000,2.977472,372184,683
137.000,2.832072,354009,671
138.000,3.456072,432009,727
139.000,3.144232,393029,696
140.000,3.010176,376272,686
141.000,3.117112,389639,699
142.000,3.367400,420925,722
143.000,3.151008,393876,703
144.000,3.015096,376887,689
145.000,3.474448,434306,731
146.000,3.256160,407020,711
147.000,3.187592,398449,704
148.000,3.054720,381840,692
149.000,3.552168,444021,733
150.000,3.276576,409572,713
151.000,3.215160,401895,714
152.000,3.333168,416646,739
153.000,3.526600,440825,755
154.000,3.310912,413864,739
155.000,3.245216,405652,732
156.000,3.657368,457171,766
157.000,3.394664,424333,742
158.000,3.345784,418223,741
159.000,3.218408,402301,729
160.000,3.761136,470142,775
161.000,3.384968,423121,742
162.000,3.426224,428278,748
163.000,3.476120,434515,751
164.000,3.663128,457891,769
165.000,3.445560,430695,751
166.000,3.381144,422643,741
167.000,3.821720,477715,783
168.000,3.561200,445150,759
169.000,3.447896,430987,749
170.000,3.395048,424381,747
171.000,3.933632,491704,795
172.000,3.531496,441437,759
173.000,3.524912,440614,754
174.000,3.612216,451527,765
175.000,3.880776,485097,788
176.000,3.556856,444607,756
177.000,3.546232,443279,756
178.000,3.802968,475371,787
179.000,3.854992,481874,787
180.000,2.691392,336424,680
181.000,0.237520,29690,453
182.000,0.237544,29693,453
183.000,0.224192,28024,447
184.000,0.216912,27114,430
185.000,0.216184,27023,429
186.000,0.250992,31374,435
187.000,0.281400,35175,433
188.000,0.301936,37742,432
189.000,0.303952,37994,436
190.000,0.370624,46328,443
191.000,0.350040,43755,444
192.000,0.347040,43380,438
193.000,0.370120,46265,442
194.000,0.393152,49144,446
195.000,0.381120,47640,443
196.000,0.403168,50396,445
197.000,0.435760,54470,447
198.000,0.469312,58664,451
199.000,0.448272,56034,451
200.000,0.447264,55908,449
201.000,0.535984,66998,458
202.000,0.502384,62798,454
203.000,0.480336,60042,452
204.000,0.535456,66932,457
205.000,0.609776,76222,468
206.000,0.552352,69044,472
207.000,0.578760,72345,483
208.000,0.656536,82067,491
209.000,0.667960,83495,493
210.000,0.611936,76492,486
211.000,0.666688,83336,492
212.000,0.720664,90083,493
213.000,0.700024,87503,494
214.000,0.690088,86261,495
215.000,0.743616,92952,497
216.000,0.822624,102828,510
217.000,0.709088,88636,494
218.000,0.771440,96430,502
219.000,0.844872,105609,510
220.000,0.865464,108183,509
221.000,0.766672,95834,501
222.000,0.586392,73299,330
