elapsed_s,throughput_mbps,bytes,packets
0.000,0.016800,2100,6
1.000,0.000000,0,0
2.000,0.000000,0,0
3.000,0.000000,0,0
4.000,0.000000,0,0
5.000,0.000000,0,0
6.000,0.000000,0,0
7.000,0.034000,4250,13
8.000,0.571640,71455,423
9.000,1.904208,238026,620
10.000,1.345152,168144,535
11.000,1.953080,244135,635
12.000,1.416248,177031,567
13.000,2.011464,251433,624
14.000,1.473688,184211,580
15.000,2.033496,254187,626
16.000,1.517768,189721,584
17.000,2.055072,256884,627
18.000,1.812992,226624,606
19.000,1.851800,231475,618
20.000,2.145176,268147,639
21.000,1.617528,202191,594
22.000,2.160512,270064,643
23.000,0.240944,30118,472
24.000,0.239880,29985,470
25.000,0.354416,44302,467
26.000,0.685408,85676,499
27.000,1.065480,133185,566
28.000,0.832024,104003,541
29.000,1.180072,147509,585
30.000,0.884048,110506,551
31.000,1.230840,153855,581
32.000,0.949056,118632,565
33.000,1.271424,158928,591
34.000,1.001712,125214,565
35.000,1.347192,168399,598
36.000,1.029016,128627,573
37.000,1.424976,178122,611
38.000,1.070192,133774,575
39.000,1.484376,185547,612
40.000,1.148480,143560,585
41.000,1.566328,195791,617
42.000,1.214624,151828,590
43.000,1.642568,205321,626
44.000,1.492912,186614,605
45.000,1.476128,184516,585
46.000,1.543144,192893,596
47.000,1.565776,195722,596
48.000,1.629072,203634,602
49.000,1.598368,199796,599
50.000,1.734496,216812,615
51.000,1.687848,210981,611
52.000,1.841424,230178,621
53.000,1.730672,216334,610
54.000,1.951192,243899,630
55.000,1.739216,217402,614
56.000,2.079720,259965,643
57.000,1.720640,215080,611
58.000,2.149592,268699,648
59.000,1.797304,224663,617
60.000,2.251056,281382,660
61.000,1.871368,233921,627
62.000,2.337368,292171,669
63.000,1.939720,242465,632
64.000,2.383784,297973,674
65.000,2.058216,257277,643
66.000,2.490536,311317,682
67.000,2.056416,257052,644
68.000,2.536928,317116,686
69.000,2.094464,261808,643
70.000,2.591072,323884,689
71.000,2.091096,261387,646
72.000,2.637704,329713,696
73.000,2.129040,266130,649
74.000,2.658776,332347,698
75.000,2.166576,270822,654
76.000,2.696504,337063,699
77.000,2.217408,277176,656
78.000,2.735504,341938,700
79.000,2.263384,282923,682
80.000,2.804064,350508,735
81.000,2.299568,287446,686
82.000,2.861352,357669,733
83.000,2.297240,287155,688
84.000,2.905424,363178,738
85.000,2.391592,298949,671
86.000,2.823368,352921,717
87.000,2.531984,316498,682
88.000,2.729784,341223,703
89.000,2.613008,326626,692
90.000,2.728360,341045,704
91.000,2.656952,332119,695
92.000,2.736320,342040,703
93.000,2.695808,336976,699
94.000,2.868536,358567,720
95.000,2.698664,337333,703
96.000,2.836600,354575,712
97.000,2.764704,345588,709
98.000,2.854072,356759,714
99.000,2.798168,349771,708
100.000,2.888184,361023,718
101.000,2.814616,351827,714
102.000,2.903312,362914,718
103.000,2.863240,357905,713
104.000,2.973832,371729,728
105.000,2.854224,356778,714
106.000,2.979008,372376,723
107.000,2.965048,370631,726
108.000,3.003840,375480,732
109.000,2.953400,369175,722
110.000,3.088600,386075,742
111.000,2.944880,368110,722
112.000,3.143280,392910,739
113.000,2.947728,368466,723
114.000,3.190632,398829,750
115.000,2.991656,373957,734
116.000,3.233400,404175,773
117.000,2.987128,373391,750
118.000,3.267184,408398,776
119.000,3.089736,386217,765
120.000,3.233664,404208,775
121.000,3.198824,399853,772
122.000,3.197424,399678,771
123.000,3.271680,408960,775
124.000,3.205112,400639,768
125.000,3.302480,412810,778
126.000,3.207400,400925,768
127.000,3.331968,416496,780
128.000,3.242136,405267,779
129.000,3.421048,427631,789
130.000,3.211288,401411,775
131.000,3.489600,436200,797
132.000,3.214792,401849,771
133.000,3.533304,441663,807
134.000,3.237032,404629,776
135.000,3.547592,443449,802
136.000,3.269344,408668,779
137.000,3.595192,449399,807
138.000,3.273344,409168,780
139.000,3.491072,436384,792
140.000,3.457848,432231,799
141.000,3.546328,443291,799
142.000,3.478856,434857,793
143.000,3.560648,445081,799
144.000,3.518088,439761,799
145.000,3.663016,457877,814
146.000,3.465584,433198,797
147.000,3.682552,460319,814
148.000,3.501768,437721,799
149.000,3.723312,465414,818
150.000,3.519392,439924,801
151.000,3.827792,478474,819
152.000,3.487848,435981,772
153.000,3.866680,483335,807
154.000,3.528696,441087,774
