elapsed_s,throughput_mbps,bytes,packets
0.000,0.061864,7733,25
1.000,0.003464,433,5
2.000,0.000000,0,0
3.000,0.000000,0,0
4.000,0.009456,1182,4
5.000,0.136664,17083,161
6.000,2.402552,300319,1089
7.000,3.121904,390238,1153
8.000,3.211416,401427,1185
9.000,2.898296,362287,1148
10.000,1.696752,212094,1039
11.000,1.809472,226184,1041
12.000,2.732008,341501,1131
13.000,2.492992,311624,1116
14.000,2.445456,305682,1105
15.000,3.044624,380578,1167
16.000,2.505784,313223,1094
17.000,2.527088,315886,1121
18.000,3.317304,414663,1186
19.000,2.513128,314141,1114
20.000,2.833712,354214,1145
21.000,3.198256,399782,1176
22.000,2.900360,362545,1152
23.000,3.009608,376201,1160
24.000,3.245320,405665,1182
25.000,2.917672,364709,1123
26.000,2.808208,351026,1136
27.000,3.677376,459672,1216
28.000,2.943480,367935,1154
29.000,3.119424,389928,1169
30.000,3.787472,473434,1232
31.000,3.121360,390170,1173
32.000,3.266432,408304,1181
33.000,3.756152,469519,1222
34.000,3.364360,420545,1193
35.000,3.252296,406537,1195
36.000,4.048360,506045,1262
37.000,3.395488,424436,1194
38.000,3.429584,428698,1204
39.000,4.146256,518282,1266
40.000,3.413920,426740,1196
41.000,3.680104,460013,1225
42.000,4.222008,527751,1272
43.000,3.638888,454861,1219
44.000,3.746728,468341,1227
45.000,3.405008,425626,1199
46.000,2.284944,285618,1082
47.000,2.039384,254923,1072
48.000,2.360112,295014,1103
49.000,2.409760,301220,1106
50.000,2.316824,289603,1098
51.000,2.536432,317054,1118
52.000,2.392064,299008,1105
53.000,2.653312,331664,1129
54.000,2.380088,297511,1081
55.000,2.779608,347451,1140
56.000,2.798336,349792,1144
57.000,2.761832,345229,1139
58.000,2.852032,356504,1143
59.000,2.859176,357397,1149
60.000,2.997576,374697,1163
61.000,2.865816,358227,1148
62.000,3.204888,400611,1178
63.000,3.143368,392921,1174
64.000,3.286680,410835,1184
65.000,3.166272,395784,1174
66.000,3.250552,406319,1182
67.000,3.394832,424354,1194
68.000,3.269216,408652,1181
69.000,3.726368,465796,1228
70.000,3.460264,432533,1201
71.000,3.672872,459109,1220
72.000,3.522096,440262,1208
73.000,3.680384,460048,1221
74.000,3.731776,466472,1228
75.000,3.778208,472276,1231
76.000,4.108944,513618,1259
77.000,3.857840,482230,1236
78.000,4.039352,504919,1252
79.000,4.002928,500366,1247
80.000,4.030760,503845,1251
81.000,4.174312,521789,1261
82.000,4.290360,536295,1272
83.000,4.394208,549276,1283
84.000,4.314464,539308,1277
85.000,4.465584,558198,1287
86.000,4.368664,546083,1280
87.000,4.439800,554975,1288
88.000,4.563632,570454,1297
89.000,4.701528,587691,1310
90.000,4.764624,595578,1317
91.000,4.649096,581137,1307
92.000,4.829240,603655,1311
93.000,4.818792,602349,1319
94.000,4.756888,594611,1313
95.000,4.894208,611776,1311
96.000,4.905632,613204,1326
97.000,5.131752,641469,1347
98.000,5.219312,652414,1358
99.000,5.255360,656920,1362
100.000,5.330304,666288,1367
101.000,5.140456,642557,1351
102.000,5.353880,669235,1371
103.000,5.310504,663813,1366
104.000,5.521904,690238,1382
105.000,5.619440,702430,1396
106.000,5.676576,709572,1398
107.000,5.764088,720511,1407
108.000,5.499112,687389,1382
109.000,5.725144,715643,1401
110.000,5.669536,708692,1398
111.000,5.873952,734244,1417
