elapsed_s,throughput_mbps,bytes,packets
0.000,0.045064,5633,19
1.000,0.002992,374,4
2.000,0.000000,0,0
3.000,0.000000,0,0
4.000,0.009456,1182,4
5.000,0.066936,8367,72
6.000,1.170000,146250,502
7.000,1.401376,175172,542
8.000,1.433016,179127,561
9.000,2.046040,255755,611
10.000,1.459736,182467,575
11.000,1.479416,184927,559
12.000,2.130688,266336,633
13.000,1.521056,190132,571
14.000,1.707928,213491,587
15.000,2.019032,252379,620
16.000,1.551680,193960,564
17.000,1.612208,201526,585
18.000,2.203024,275378,630
19.000,1.599704,199963,581
20.000,1.651328,206416,579
21.000,2.240232,280029,638
22.000,1.632240,204030,583
23.000,1.797560,224695,598
24.000,2.179016,272377,634
25.000,1.641656,205207,558
26.000,1.675776,209472,563
27.000,2.345944,293243,647
28.000,1.697408,212176,587
29.000,1.696944,212118,586
30.000,2.417264,302158,653
31.000,1.741984,217748,592
32.000,1.733696,216712,588
33.000,2.411008,301376,652
34.000,1.774072,221759,593
35.000,1.761752,220219,600
36.000,2.393840,299230,657
37.000,1.764656,220582,590
38.000,1.816240,227030,601
39.000,2.402904,300363,651
40.000,1.808712,226089,595
41.000,1.836392,229549,599
42.000,2.373480,296685,626
43.000,1.807912,225989,574
44.000,1.818936,227367,578
45.000,1.537424,192178,561
46.000,0.227816,28477,447
47.000,0.231080,28885,454
48.000,0.219656,27457,452
49.000,0.219656,27457,452
50.000,0.219144,27393,451
51.000,0.219656,27457,452
52.000,0.220120,27515,453
53.000,0.220144,27518,453
54.000,0.211464,26433,434
55.000,0.208448,26056,427
56.000,0.208424,26053,427
57.000,0.209400,26175,429
58.000,0.208936,26117,428
59.000,0.209888,26236,430
60.000,0.209824,26228,430
61.000,0.208448,26056,427
62.000,0.209400,26175,429
63.000,0.209888,26236,430
64.000,0.208936,26117,428
65.000,0.208424,26053,427
66.000,0.209400,26175,429
67.000,0.208448,26056,427
68.000,0.208424,26053,427
69.000,0.210376,26297,431
70.000,0.209424,26178,429
71.000,0.207936,25992,426
72.000,0.208912,26114,428
73.000,0.210400,26300,431
74.000,0.208848,26106,428
75.000,0.209400,26175,429
76.000,0.208936,26117,428
77.000,0.213576,26697,439
78.000,0.219168,27396,451
79.000,0.218720,27340,450
80.000,0.220144,27518,453
81.000,0.220112,27514,450
82.000,0.225512,28189,450
83.000,0.225568,28196,450
84.000,0.226520,28315,452
85.000,0.224056,28007,447
86.000,0.225512,28189,450
87.000,0.225064,28133,449
88.000,0.226016,28252,451
89.000,0.225064,28133,449
90.000,0.226016,28252,451
91.000,0.225568,28196,450
92.000,0.223536,27942,446
93.000,0.224080,28010,447
94.000,0.225992,28249,451
95.000,0.221536,27692,442
96.000,0.226096,28262,451
97.000,0.224480,28060,448
98.000,0.225624,28203,450
99.000,0.226496,28312,452
100.000,0.225592,28199,450
101.000,0.224904,28113,449
102.000,0.225592,28199,450
103.000,0.227000,28375,453
104.000,0.224584,28073,448
105.000,0.225488,28186,450
106.000,0.225592,28199,450
107.000,0.225992,28249,451
108.000,0.223576,27947,446
109.000,0.225992,28249,451
110.000,0.224584,28073,448
111.000,0.227504,28438,454
112.000,0.225120,28140,449
113.000,0.217712,27214,432
114.000,0.216288,27036,429
115.000,0.214248,26781,425
116.000,0.215256,26907,427
117.000,0.215280,26910,427
118.000,0.215760,26970,428
119.000,0.213240,26655,423
120.000,0.216792,27099,430
121.000,0.213744,26718,424
122.000,0.214752,26844,426
123.000,0.214752,26844,426
124.000,0.214272,26784,425
125.000,0.214248,26781,425
126.000,0.214752,26844,426
127.000,0.216288,27036,429
128.000,0.214248,26781,425
129.000,0.216768,27096,430
130.000,0.215280,26910,427
131.000,0.214248,26781,425
132.000,0.216264,27033,429
133.000,0.213264,26658,423
134.000,0.214752,26844,426
135.000,0.215256,26907,427
136.000,0.215280,26910,427
137.000,0.215256,26907,427
138.000,0.215760,26970,428
139.000,0.214776,26847,426
140.000,0.214752,26844,426
141.000,0.215256,26907,427
142.000,0.215256,26907,427
143.000,0.215280,26910,427
144.000,0.214248,26781,425
145.000,0.215256,26907,427
146.000,0.214272,26784,425
147.000,0.214752,26844,426
148.000,0.216608,27076,430
149.000,0.224368,28046,448
150.000,0.224984,28123,449
151.000,0.224584,28073,448
152.000,0.226528,28316,452
153.000,0.225088,28136,449
154.000,0.224984,28123,449
155.000,0.223072,27884,445
156.000,0.225992,28249,451
157.000,0.225008,28126,449
158.000,0.224560,28070,448
159.000,0.225992,28249,451
160.000,0.225088,28136,449
161.000,0.224480,28060,448
162.000,0.224584,28073,448
163.000,0.226496,28312,452
164.000,0.223576,27947,446
165.000,0.225568,28196,450
166.000,0.225512,28189,450
167.000,0.223552,27944,446
168.000,0.225992,28249,451
169.000,0.224080,28010,447
170.000,0.225992,28249,451
171.000,0.257152,32144,450
172.000,0.290200,36275,453
173.000,0.313704,39213,458
174.000,0.356344,44543,459
175.000,0.366864,45858,459
176.000,0.353392,44174,465
177.000,0.403464,50433,469
178.000,0.444984,55623,468
179.000,0.446552,55819,471
180.000,0.456512,57064,470
181.000,0.489112,61139,472
