elapsed_s,throughput_mbps,bytes,packets
0.000,0.016800,2100,6
1.000,0.000472,59,1
2.000,0.000000,0,0
3.000,0.000000,0,0
4.000,0.000000,0,0
5.000,0.069728,8716,89
6.000,1.232552,154069,587
7.000,1.720528,215066,611
8.000,1.778400,222300,624
9.000,0.852256,106532,537
10.000,0.237016,29627,464
11.000,0.330056,41257,482
12.000,0.601320,75165,498
13.000,0.971936,121492,545
14.000,0.737528,92191,518
15.000,1.025592,128199,547
16.000,0.954104,119263,530
17.000,0.914880,114360,536
18.000,1.114280,139285,556
19.000,0.913424,114178,533
20.000,1.182384,147798,566
21.000,0.958024,119753,538
22.000,1.268120,158515,569
23.000,1.212048,151506,562
24.000,1.066304,133288,548
25.000,1.276016,159502,565
26.000,1.132432,141554,573
27.000,1.331432,166429,569
28.000,1.246072,155759,567
29.000,1.422480,177810,583
30.000,1.370208,171276,579
31.000,1.379376,172422,581
32.000,1.532736,191592,593
33.000,1.345144,168143,570
34.000,1.590288,198786,600
35.000,1.490544,186318,595
36.000,1.654520,206815,605
37.000,1.630832,203854,604
38.000,1.613344,201668,603
39.000,1.743352,217919,615
40.000,1.605208,200651,601
41.000,1.843712,230464,626
42.000,1.848528,231066,646
43.000,1.830976,228872,645
44.000,1.927792,240974,649
45.000,1.867584,233448,638
46.000,2.057128,257141,635
47.000,1.808304,226038,618
48.000,2.140456,267557,651
49.000,2.190104,273763,654
50.000,2.097680,262210,647
51.000,2.316776,289597,666
52.000,2.171944,271493,652
53.000,2.433168,304146,676
54.000,2.168624,271078,647
55.000,2.571160,321395,713
56.000,2.589912,323739,717
57.000,2.552432,319054,710
58.000,2.643096,330387,715
59.000,2.649288,331161,719
60.000,2.787752,348469,733
61.000,2.657368,332171,721
62.000,2.995488,374436,749
63.000,2.933480,366685,744
64.000,3.077744,384718,756
65.000,2.957848,369731,747
66.000,3.041152,380144,753
67.000,3.186384,398298,767
68.000,3.060792,382599,754
69.000,3.515992,439499,797
70.000,3.250840,406355,772
71.000,3.464936,433117,794
72.000,3.313184,414148,780
73.000,3.469984,433748,790
74.000,3.522928,440366,800
75.000,3.568808,446101,802
76.000,3.900008,487501,831
77.000,3.644264,455533,797
78.000,3.820184,477523,801
79.000,3.784208,473026,797
80.000,3.810616,476327,798
81.000,3.954200,494275,811
82.000,4.064848,508106,822
83.000,4.168640,521080,833
84.000,4.087944,510993,825
85.000,4.241528,530191,840
86.000,4.143152,517894,830
87.000,4.214736,526842,839
88.000,4.337616,542202,846
89.000,4.476464,559558,861
90.000,4.538608,567326,866
91.000,4.423528,552941,857
92.000,4.605704,575713,865
93.000,4.594712,574339,872
94.000,4.530896,566362,862
95.000,4.672672,584084,869
96.000,4.679536,584942,875
97.000,4.907272,613409,899
98.000,4.993688,624211,908
99.000,5.028864,628608,910
100.000,5.104712,638089,917
101.000,4.915552,614444,902
102.000,5.128288,641036,921
103.000,5.083504,635438,913
104.000,5.297320,662165,934
105.000,5.393952,674244,946
106.000,5.450984,681373,948
107.000,5.538096,692262,956
108.000,5.275536,659442,936
109.000,5.499152,687394,950
110.000,5.444952,680619,950
111.000,5.646448,705806,963
112.000,5.662568,707821,969
113.000,5.930848,741356,1011
114.000,5.852112,731514,1008
115.000,5.764560,720570,1005
116.000,5.735016,716877,997
117.000,5.928392,741049,1014
118.000,5.945760,743220,1018
119.000,5.957736,744717,1016
120.000,6.304512,788064,1052
121.000,6.269648,783706,1042
122.000,6.138216,767277,1030
123.000,6.298472,787309,1052
124.000,6.217176,777147,1040
125.000,6.304104,788013,1049
126.000,6.386656,798332,1059
127.000,6.396720,799590,1057
128.000,6.641456,830182,1081
129.000,6.761736,845217,1088
130.000,6.830832,853854,1096
131.000,6.532640,816580,1073
132.000,6.705456,838182,1083
133.000,6.745928,843241,1089
134.000,6.754104,844263,1093
135.000,6.768496,846062,1094
136.000,7.274608,909326,1134
137.000,7.143176,892897,1128
138.000,7.013592,876699,1113
139.000,7.187360,898420,1129
140.000,7.006560,875820,1113
141.000,5.661896,707737,990
142.000,5.963920,745490,1020
