time_s,path_a_quic_wire_mbps,path_b_quic_wire_mbps,total_quic_wire_mbps
0.0,0.02784,0.02784,0.05568
1.0,0.03084,0.03084,0.06168
2.0,0.065216,0.026752,0.091968
3.0,0.087848,0.04056,0.128408
4.0,0.0,0.0,0.0
5.0,0.006912,0.006912,0.013824
6.0,0.041472,0.041472,0.082944
7.0,0.008536,0.008536,0.017072
8.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0
10.0,0.11804,0.01628,0.13432
11.0,10.043952,0.180624,10.224576
12.0,21.071848,1.393256,22.465104
13.0,20.472512,1.604128,22.07664
14.0,20.726224,1.034624,21.760848
15.0,21.361272,1.581248,22.94252
16.0,21.437232,1.603096,23.040328
17.0,20.732408,1.608512,22.34092
18.0,21.170976,1.62296,22.793936
19.0,21.453424,1.587776,23.0412
20.0,21.370256,1.645832,23.016088
21.0,20.810352,1.64524,22.455592
22.0,21.508864,1.660592,23.169456
23.0,21.488768,1.67176,23.160528
24.0,21.1322,1.642856,22.775056
25.0,20.957296,1.687384,22.64468
26.0,21.363704,1.700984,23.064688
27.0,21.43224,1.702112,23.134352
28.0,21.306968,1.725624,23.032592
29.0,21.1644,1.712672,22.877072
30.0,21.562448,1.555568,23.118016
31.0,21.3896,1.355504,22.745104
32.0,21.020352,1.734944,22.755296
33.0,21.501144,1.767424,23.268568
34.0,21.552264,1.777688,23.329952
35.0,21.576888,1.778264,23.355152
36.0,21.037256,1.780064,22.81732
37.0,21.586704,1.79064,23.377344
38.0,20.712456,1.798496,22.510952
39.0,21.531824,1.767776,23.2996
40.0,21.102568,1.825432,22.928
41.0,21.70284,1.864152,23.566992
42.0,21.627672,1.855072,23.482744
43.0,21.431704,1.872616,23.30432
44.0,21.345152,1.875848,23.221
45.0,21.695248,1.843904,23.539152
46.0,21.70608,1.387632,23.093712
47.0,21.338272,1.860032,23.198304
48.0,21.469816,1.930664,23.40048
49.0,21.727176,1.95432,23.681496
50.0,21.764952,1.971952,23.736904
51.0,21.086248,1.939168,23.025416
52.0,21.775232,1.994312,23.769544
53.0,21.760424,2.00476,23.765184
54.0,21.675264,1.988776,23.66404
55.0,21.222528,2.018272,23.2408
56.0,21.848328,2.00984,23.858168
57.0,21.774584,2.00664,23.781224
58.0,21.503712,2.027752,23.531464
59.0,21.503168,2.027304,23.530472
60.0,21.844512,1.670704,23.515216
61.0,21.887896,1.581064,23.46896
62.0,21.152752,0.377672,21.530424
63.0,21.911208,0.38052,22.291728
64.0,21.877112,0.36776,22.244872
65.0,21.786184,0.366472,22.152656
66.0,21.381976,0.36596,21.747936
67.0,22.011824,0.374584,22.386408
68.0,22.020168,0.375232,22.3954
69.0,21.60932,0.377104,21.986424
70.0,21.740352,0.375952,22.116304
71.0,22.099088,0.375768,22.474856
72.0,22.12568,0.37472,22.5004
73.0,21.358856,0.375232,21.734088
74.0,22.206752,0.375256,22.582008
75.0,22.2176,0.375336,22.592936
76.0,21.951544,0.374616,22.32616
77.0,21.732784,0.37472,22.107504
78.0,22.321656,0.374,22.695656
79.0,22.296776,0.37464,22.671416
80.0,21.637296,0.374616,22.011912
81.0,22.254064,0.373488,22.627552
82.0,22.408864,0.374648,22.783512
83.0,22.19408,0.362136,22.556216
84.0,21.800864,0.356712,22.157576
85.0,22.526624,0.354864,22.881488
86.0,22.521384,0.356096,22.87748
87.0,21.881176,0.356072,22.237248
88.0,22.301984,0.35548,22.657464
89.0,22.623944,0.35548,22.979424
90.0,22.269248,0.35548,22.624728
91.0,21.991824,0.354864,22.346688
92.0,22.72564,0.356096,23.081736
93.0,22.60972,0.356096,22.965816
94.0,22.014032,0.354248,22.36828
95.0,22.57208,0.353632,22.925712
96.0,22.831264,0.357248,23.188512
97.0,22.392608,0.35484,22.747448
98.0,22.237144,0.354248,22.591392
99.0,22.861288,0.354248,23.215536
100.0,22.78168,0.355512,23.137192
101.0,21.993504,0.353632,22.347136
102.0,22.982448,0.354864,23.337312
103.0,22.964656,0.353016,23.317672
104.0,22.420288,0.353632,22.77392
105.0,22.578552,0.354248,22.9328
106.0,23.096432,0.3524,23.448832
