time_s,path_a_quic_wire_mbps,path_b_quic_wire_mbps,total_quic_wire_mbps
0.0,0.031416,0.013816,0.045232
1.0,0.028792,0.028904,0.057696
2.0,0.047176,0.033032,0.080208
3.0,0.123648,0.029968,0.153616
4.0,0.009736,0.001608,0.011344
5.0,0.013824,0.020736,0.03456
6.0,0.027648,0.020736,0.048384
7.0,0.168216,0.079176,0.247392
8.0,16.822736,0.718528,17.541264
9.0,20.93276,2.08296,23.01572
10.0,21.63856,2.199384,23.837944
11.0,20.885952,1.77344,22.659392
12.0,20.09256,1.807176,21.899736
13.0,20.109872,2.201136,22.311008
14.0,20.098664,2.103912,22.202576
15.0,20.102264,1.919216,22.02148
16.0,20.101128,1.939272,22.0404
17.0,20.10336,1.997288,22.100648
18.0,20.165232,2.016072,22.181304
19.0,20.16444,2.034096,22.198536
20.0,20.17584,2.07984,22.25568
21.0,20.1552,2.115048,22.270248
22.0,20.191704,2.142096,22.3338
23.0,20.194952,2.170728,22.36568
24.0,20.204232,2.24988,22.454112
25.0,20.239784,2.269752,22.509536
26.0,20.240488,2.27852,22.519008
27.0,20.176296,2.31672,22.493016
28.0,20.256304,2.347736,22.60404
29.0,20.256984,2.370592,22.627576
30.0,20.276016,2.392904,22.66892
31.0,20.287416,2.428512,22.715928
32.0,20.223176,2.461168,22.684344
33.0,20.319592,2.468432,22.788024
34.0,20.31536,2.50364,22.819
35.0,20.330832,2.534048,22.86488
36.0,20.284312,2.581608,22.86592
37.0,20.298736,1.51192,21.810656
38.0,20.375816,0.452784,20.8286
39.0,20.372152,0.45212,20.824272
40.0,20.373016,0.441048,20.814064
41.0,20.305608,0.443448,20.749056
42.0,20.440288,0.440424,20.880712
43.0,20.447016,0.442248,20.889264
44.0,20.160528,0.433248,20.593776
45.0,20.363,0.438648,20.801648
46.0,19.722008,0.423648,20.145656
47.0,18.012816,0.385248,18.398064
48.0,20.581568,0.439248,21.020816
49.0,20.584424,0.438048,21.022472
50.0,20.446992,0.439848,20.88684
51.0,20.634808,0.440448,21.075256
52.0,20.653704,0.442152,21.095856
53.0,20.740664,0.44788,21.188544
54.0,20.532264,0.476144,21.008408
55.0,20.767224,0.449112,21.216336
56.0,20.693008,0.450344,21.143352
57.0,20.818992,0.448496,21.267488
58.0,20.3582,0.44172,20.79992
59.0,20.832848,0.44788,21.280728
60.0,20.73252,0.446648,21.179168
61.0,20.786016,0.4448,21.230816
62.0,20.679064,0.448496,21.12756
63.0,20.93804,0.448248,21.386288
64.0,20.436672,0.436176,20.872848
65.0,21.016112,0.447264,21.463376
66.0,20.587552,0.444184,21.031736
67.0,20.13296,0.4294,20.56236
68.0,20.938368,0.43864,21.377008
69.0,21.102384,0.446648,21.549032
70.0,20.8686,0.447264,21.315864
71.0,21.146888,0.4448,21.591688
72.0,20.775624,0.43556,21.211184
73.0,20.98892,0.440488,21.429408
74.0,20.921664,0.448496,21.37016
75.0,21.329096,0.445416,21.774512
76.0,21.303664,0.4448,21.748464
77.0,21.249488,0.443568,21.693056
78.0,21.013848,0.445416,21.459264
79.0,21.413432,0.444792,21.858224
80.0,21.43344,0.446648,21.880088
81.0,21.36992,0.442952,21.812872
82.0,21.141456,0.4448,21.586256
83.0,21.52684,0.443568,21.970408
84.0,21.478224,0.442952,21.921176
85.0,21.417272,0.443568,21.86084
86.0,21.311176,0.444184,21.75536
87.0,21.618568,0.444184,22.062752
88.0,21.38244,0.43864,21.82108
89.0,21.277712,0.442336,21.720048
90.0,21.60556,0.441104,22.046664
91.0,21.732984,0.442952,22.175936
92.0,21.646448,0.442952,22.0894
93.0,21.431704,0.442336,21.87404
94.0,21.82772,0.441104,22.268824
95.0,21.793216,0.441696,22.234912
96.0,21.712664,0.439872,22.152536
97.0,21.6022,0.443568,22.045768
98.0,21.858688,0.440488,22.299176
99.0,21.93304,0.44172,22.37476
100.0,21.809992,0.441104,22.251096
101.0,21.687664,0.439256,22.12692
102.0,22.014064,0.440488,22.454552
103.0,21.97356,0.440488,22.414048
104.0,21.824672,0.440488,22.26516
105.0,21.922504,0.439872,22.362376
106.0,22.114664,0.439872,22.554536
107.0,22.069144,0.440488,22.509632
108.0,21.79884,0.439872,22.238712
109.0,22.214928,0.439232,22.65416
110.0,22.157232,0.439872,22.597104
111.0,22.120224,0.438024,22.558248
112.0,21.918736,0.437408,22.356144
113.0,22.37152,0.439872,22.811392
114.0,22.207904,0.438024,22.645928
115.0,22.06852,0.4374,22.50592
116.0,22.26556,0.438024,22.703584
117.0,22.3524,0.437408,22.789808
118.0,22.331736,0.437408,22.769144
119.0,22.016752,0.436792,22.453544
120.0,22.347,0.433096,22.780096
121.0,21.865472,0.425704,22.291176
122.0,22.256216,0.438024,22.69424
123.0,22.459632,0.438024,22.897656
124.0,22.51676,0.435536,22.952296
125.0,22.51908,0.436176,22.955256
126.0,22.253504,0.436824,22.690328
127.0,22.72988,0.437184,23.167064
128.0,22.519104,0.43556,22.954664
129.0,22.539192,0.434944,22.974136
130.0,22.581592,0.436176,23.017768
131.0,22.667784,0.436824,23.104608
132.0,22.674376,0.434944,23.10932
133.0,22.423392,0.433712,22.857104
134.0,22.91564,0.434328,23.349968
135.0,22.708968,0.434304,23.143272
136.0,22.590416,0.433712,23.024128
137.0,22.793792,0.434328,23.22812
138.0,22.762936,0.431864,23.1948
139.0,22.791192,0.433096,23.224288
140.0,22.586496,0.430016,23.016512
141.0,23.040344,0.433096,23.47344
142.0,22.826496,0.433712,23.260208
143.0,22.662064,0.434328,23.096392
144.0,23.139,0.43248,23.57148
145.0,22.967184,0.433072,23.400256
146.0,22.929448,0.43248,23.361928
147.0,22.89264,0.43248,23.32512
148.0,23.104632,0.430632,23.535264
149.0,23.172416,0.431864,23.60428
150.0,22.773344,0.43248,23.205824
151.0,23.326856,0.430632,23.757488
152.0,23.179592,0.430016,23.609608
153.0,22.791768,0.431248,23.223016
154.0,23.404816,0.430608,23.835424
155.0,23.224384,0.430016,23.6544
156.0,23.161288,0.430016,23.591304
157.0,23.14296,0.4294,23.57236
158.0,23.331384,0.430016,23.7614
159.0,23.403624,0.430016,23.83364
160.0,23.046328,0.430016,23.476344
161.0,23.561544,0.430632,23.992176
162.0,23.311112,0.42876,23.739872
163.0,23.152512,0.428784,23.581296
164.0,23.5384,0.428784,23.967184
165.0,23.525144,0.428784,23.953928
166.0,23.122072,0.427552,23.549624
167.0,23.72504,0.428168,24.153208
168.0,23.55048,0.4294,23.97988
169.0,23.440672,0.426936,23.867608
170.0,23.54612,0.427528,23.973648
171.0,23.599448,0.426936,24.026384
172.0,23.569264,0.42632,23.995584
173.0,23.467944,0.427552,23.895496
174.0,23.700312,0.425704,24.126016
175.0,23.833776,0.425088,24.258864
176.0,23.385504,0.427552,23.813056
177.0,23.756008,0.42632,24.182328
178.0,23.847456,0.42568,24.273136
179.0,23.497376,0.425704,23.92308
180.0,23.861032,0.426968,24.288
181.0,23.838528,0.42632,24.264848
182.0,22.57812,0.3986,22.97672
183.0,23.66376,0.427552,24.091312
184.0,23.903232,0.425088,24.32832
185.0,23.65336,0.41952,24.07288
186.0,23.770744,0.425088,24.195832
187.0,23.90188,0.421392,24.323272
188.0,23.794304,0.425088,24.219392
189.0,23.644136,0.417696,24.061832
190.0,24.08,0.423856,24.503856
191.0,23.77756,0.423832,24.201392
192.0,23.854208,0.417696,24.271904
193.0,24.122072,0.438072,24.560144
194.0,23.663816,0.418648,24.082464
195.0,24.173056,0.422008,24.595064
196.0,24.282336,0.421392,24.703728
197.0,23.860752,0.42324,24.283992
198.0,24.225192,0.42324,24.648432
199.0,24.472152,0.422008,24.89416
200.0,23.80804,0.420776,24.228816
201.0,24.256528,0.41952,24.676048
202.0,24.541264,0.422624,24.963888
203.0,23.903088,0.422008,24.325096
204.0,24.309264,0.42016,24.729424
205.0,24.388632,0.418312,24.806944
206.0,23.94324,0.42016,24.3634
207.0,24.475264,0.420752,24.896016
208.0,24.433904,0.420776,24.85468
209.0,24.054472,0.42016,24.474632
210.0,24.612992,0.419544,25.032536
211.0,24.488936,0.42016,24.909096
212.0,24.164472,0.418312,24.582784
213.0,24.66724,0.420752,25.087992
214.0,24.584024,0.418928,25.002952
215.0,24.098704,0.415232,24.513936
216.0,24.798,0.42016,25.21816
217.0,24.699016,0.417696,25.116712
218.0,24.13996,0.417696,24.557656
219.0,24.572072,0.409072,24.981144
220.0,24.330336,0.492712,24.823048
221.0,25.68512,0.447712,26.132832
222.0,25.705064,0.418928,26.123992
223.0,25.783272,0.418312,26.201584
224.0,25.671272,0.418952,26.090224
225.0,13.243784,0.21932,13.463104
