time_s,path_id,alpha,beta,gamma,gain,backoff,cwnd_bytes,inflight_bytes,bw_bps,owd_ms,loss_rate,path_label
2,0,0.6,0.3,0.10000000000000002,1.0643333333333334,0.9774166666666666,46720.0,713.6666666666666,7379946.666666667,140.68141666666668,0.0,path_a_ctrl
3,0,0.6,0.3,0.1,1.1343270270270271,0.9497837837837839,46720.0,231.56756756756758,9877524.756756756,151.4753243243243,0.0,path_a_ctrl
3,1,0.6,0.3,0.1,1.157692857142857,0.9390035714285715,46720.0,1081.107142857143,11888196.57142857,57.9068,0.0,path_b_ctrl
3,3,0.6,0.3,0.1,1.1598551724137933,0.9379965517241379,46720.0,993.448275862069,11936430.344827587,53.87911034482759,0.0,path_b_alt
4,0,0.6,0.3,0.10000000000000002,1.1825,0.9305,46720.0,0.0,10054400.0,148.695,0.0,path_a_ctrl
4,1,0.6,0.3,0.10000000000000002,1.1851,0.9289,46720.0,0.0,17554816.0,85.164,0.0,path_b_ctrl
4,3,0.6,0.3,0.10000000000000002,1.1865,0.9281,46720.0,0.0,19412544.0,77.014,0.0,path_b_alt
5,0,0.6,0.3,0.10000000000000002,1.1825,0.9305,46720.0,0.0,10054400.0,148.695,0.0,path_a_ctrl
5,1,0.6,0.3,0.10000000000000002,1.1851,0.9289,46720.0,0.0,17554816.0,85.164,0.0,path_b_ctrl
5,3,0.6,0.3,0.10000000000000002,1.1865,0.9281,46720.0,0.0,19412544.0,77.014,0.0,path_b_alt
6,0,0.6,0.3,0.10000000000000002,1.1825,0.9305,46720.0,0.0,10054400.0,148.695,0.0,path_a_ctrl
6,1,0.6,0.3,0.10000000000000002,1.1851,0.9289,46720.0,0.0,17554816.0,85.164,0.0,path_b_ctrl
6,3,0.6,0.3,0.10000000000000002,1.1865,0.9281,46720.0,0.0,19412544.0,77.014,0.0,path_b_alt
7,0,0.6,0.3,0.1,1.1536941176470588,0.9415960784313725,46720.0,548.6078431372549,16307168.62745098,89.53985294117648,0.0,path_a_ctrl
7,1,0.6,0.3,0.1,1.1757250000000001,0.9320194444444445,46720.0,697.3888888888889,13981187.555555556,64.69157222222222,0.0,path_b_ctrl
7,3,0.6,0.3,0.1,1.1809027777777776,0.9292305555555556,46720.0,594.8333333333334,20741806.222222224,44.11842222222222,0.0,path_b_alt
8,0,0.6,0.3,0.1,1.184303896103896,0.9294476190476191,46720.0,0.0,15869194.528138528,97.8772316017316,0.0,path_a_ctrl
8,1,0.6,0.3,0.1,1.1851468634686346,0.9289162361623616,102744.1328413284,94181.18081180812,38725715.36531366,84.95031734317344,0.0,path_b_ctrl
8,3,0.6,0.3,0.1,1.1897044728434505,0.9261766773162939,207436.61341853035,199694.47284345047,115927071.28434505,58.77912619808307,0.0,path_b_alt
9,0,0.6,0.3,0.1,1.1825,0.9304999999999999,46720.0,0.0,10054400.0,148.695,0.0,path_a_ctrl
9,1,0.6,0.3,0.1,1.1851,0.9289,46720.0,26.056338028169016,17554816.0,85.164,0.0,path_b_ctrl
9,3,0.6,0.3,0.1,1.1862222222222223,0.9282666666666667,46720.0,41.31944444444444,19133148.444444444,78.50997222222222,0.0,path_b_alt
10,0,0.6,0.3,0.1,1.1825,0.9305,46720.0,0.0,10054400.0,148.695,0.0,path_a_ctrl
10,1,0.6,0.3,0.1,1.1836932835820897,0.9297649253731343,46720.0,24.813432835820894,15387124.537313433,98.8754776119403,0.0,path_b_ctrl
10,3,0.6,0.3,0.1,1.1824783582089553,0.9305126865671641,46720.0,31.34328358208955,13648511.04477612,110.23103731343284,0.0,path_b_alt
11,0,0.6,0.3,0.1,1.1825,0.9305,46720.0,0.0,10054400.0,148.695,0.0,path_a_ctrl
11,1,0.6,0.3,0.1,1.1825,0.9305,46720.0,0.0,13463680.0,111.042,0.0,path_b_ctrl
11,3,0.6,0.3,0.1,1.1825,0.9305,46720.0,25.0,12145280.0,123.096,0.0,path_b_alt
16,0,0.6,0.3,0.1,1.1825,0.9305,46720.0,0.0,4579776.0,326.4395,0.0,path_a_ctrl
16,1,0.6,0.3,0.09999999999999999,1.1431647696476965,0.9501658536585366,236520.0,237476.0487804878,27901386.753387533,271.2764159891599,0.0026222682926829266,path_b_ctrl
16,3,0.6,0.3,0.1,1.0325,1.0055,962140.0,962134.4107142857,127718847.6734694,241.08316709183674,0.02062859948979592,path_b_alt
23,0,0.6350476190476191,0.26495238095238094,0.11880952380952381,1.1792083333333334,0.9324749999999999,46720.0,0.0,9889984.0,151.1665,0.0,path_a_ctrl
23,1,0.6350588235294118,0.26494117647058824,0.1188235294117647,1.1792058823529412,0.9324764705882352,46720.0,18.235294117647058,13463680.0,111.042,0.0,path_b_ctrl
23,3,0.6350243902439024,0.2649756097560976,0.11878048780487806,1.1792134146341464,0.9324719512195122,46720.0,0.0,9889984.0,151.1665,0.0,path_b_alt
24,0,0.636,0.264,0.12,1.179,0.9325999999999999,46720.0,0.0,9889984.0,151.1665,0.0,path_a_ctrl
24,1,0.636,0.264,0.12000000000000001,1.179,0.9326,46720.0,0.0,13463680.0,111.04200000000002,0.0,path_b_ctrl
24,3,0.636,0.264,0.12,1.179,0.9326,46720.0,0.0,9889984.0,151.1665,0.0,path_b_alt
25,0,0.636,0.264,0.12000000000000001,1.179,0.9326,46720.0,0.0,9889984.0,151.1665,0.0,path_a_ctrl
25,1,0.636,0.264,0.12,1.179,0.9326,46720.0,2.34375,13463680.0,111.04199999999999,0.0,path_b_ctrl
25,3,0.636,0.264,0.12000000000000001,1.179,0.9326,46720.0,2.3684210526315788,9889984.0,151.1665,0.0,path_b_alt
26,0,0.636,0.264,0.12,1.179,0.9325999999999999,46720.0,0.0,9889984.0,151.1665,0.0,path_a_ctrl
26,1,0.636,0.264,0.12,1.179,0.9325999999999999,46720.0,10.294117647058824,13463680.0,111.042,0.0,path_b_ctrl
26,3,0.636,0.264,0.12,1.179,0.9326,46720.0,42.23300970873787,9889984.0,151.1665,0.0,path_b_alt
79,0,0.636,0.264,0.12,1.179,0.9326,46720.0,0.0,4295616.0,348.035,0.0,path_a_ctrl
79,1,0.636,0.264,0.12000000000000001,1.1748,0.9347,277400.0,277603.0,31125902.222222224,285.19016666666664,0.000316,path_b_ctrl
79,3,0.636,0.264,0.12000000000000001,1.1456,0.9493000000000001,989880.0,990366.0,124079772.44444445,255.2886111111111,0.00253,path_b_alt
80,0,0.636,0.264,0.12,1.179,0.9325999999999999,46720.0,0.0,4295616.0,348.035,0.0,path_a_ctrl
80,1,0.636,0.264,0.12,1.1748,0.9347,277400.0,277723.17647058825,31132556.8,285.129025,0.00031549117647058824,path_b_ctrl
80,3,0.636,0.264,0.12,1.1456749379652604,0.9492625310173697,989880.0,989958.9032258064,123993268.08933002,255.46722456575685,0.002524089330024814,path_b_alt
86,0,0.6488,0.2712,0.136,1.1213,0.9562000000000002,46720.0,0.0,5246592.0,284.9535,0.0,path_a_ctrl
86,1,0.6488,0.2712,0.136,1.1213,0.9562000000000002,46720.0,50.0,5246592.0,284.9535,0.0,path_b_ctrl
86,3,0.6488,0.2712,0.136,1.1213,0.9562000000000002,46720.0,0.0,7803200.0,191.5925,0.0,path_b_alt
87,0,0.6488,0.2712,0.136,1.1212996212121211,0.9562030303030303,46720.0,0.0,5244745.696969697,285.0524659090909,0.0,path_a_ctrl
87,1,0.6488,0.2712,0.136,1.121299619771863,0.9562030418250951,46720.0,50.19011406844106,5244738.676806084,285.0528422053232,0.0,path_b_ctrl
87,3,0.6488,0.2712,0.136,1.1213,0.9562026819923373,46720.0,0.0,7803200.0,191.5925,0.0,path_b_alt
88,0,0.656748051948052,0.26013506493506494,0.14909090909090908,1.1183826839826838,0.9578922077922077,46720.0,0.0,5237013.333333333,285.4728333333333,0.0,path_a_ctrl
88,1,0.6567137931034484,0.2601827586206897,0.1490344827586207,1.1183952586206896,0.9578853448275862,46720.0,53.01724137931034,5237030.8965517245,285.471875,0.0,path_b_ctrl
88,3,0.6567382608695652,0.2601486956521739,0.14907478260869564,1.1183873913043476,0.9578895652173913,46720.0,0.0,7803200.0,191.5925,0.0,path_b_alt
144,0,0.659,0.257,0.1528,1.1733,0.936,46720.0,0.0,4295616.0,348.035,0.0,path_a_ctrl
144,1,0.659,0.257,0.1528,1.1711997109826588,0.9371,312440.0,312671.9884393064,34128131.884393066,292.95701589595376,0.000159,path_b_ctrl
144,3,0.659,0.257,0.15279999999999996,1.1558144827586205,0.9447811494252873,989880.0,989518.5425287356,120577009.14022988,262.70512988505743,0.0013561540229885057,path_b_alt
151,0,0.659,0.257,0.1528,1.1165,0.9587000000000001,46720.0,0.0,5137344.0,291.014,0.0,path_a_ctrl
151,1,0.659,0.257,0.1528,1.1165,0.9587,46720.0,109.94809688581314,5137344.0,291.014,0.0,path_b_ctrl
151,3,0.659,0.257,0.1528,1.1165,0.9587000000000001,46720.0,0.0,7803200.0,191.5925,0.0,path_b_alt
152,0,0.659,0.257,0.1528,1.1165,0.9586999999999999,46720.0,0.0,5137344.0,291.014,0.0,path_a_ctrl
152,1,0.659,0.257,0.1528,1.1165,0.9587,46720.0,109.0909090909091,5137344.0,291.014,0.0,path_b_ctrl
152,3,0.659,0.257,0.1528,1.1165,0.9587,46720.0,0.0,7803200.0,191.59250000000003,0.0,path_b_alt
208,0,0.659,0.257,0.1528,1.1733,0.936,46720.0,0.0,4295616.0,348.035,0.0,path_a_ctrl
208,1,0.659,0.257,0.1528,1.1719,0.9367000000000001,350400.0,350731.73391812865,37310565.23976608,300.52602046783625,0.000103,path_b_ctrl
208,3,0.659,0.257,0.15279999999999996,1.1612751028806583,0.9420179012345679,989880.0,989821.5534979424,117167194.99588478,270.35146399176955,0.0009341316872427983,path_b_alt
215,0,0.659,0.257,0.1528,1.115,0.9594000000000001,46720.0,0.0,4989824.0,299.6165,0.0,path_a_ctrl
215,1,0.659,0.257,0.1528,1.115,0.9594000000000001,46720.0,156.3953488372093,4989824.0,299.6165,0.0,path_b_ctrl
