time_s,tp_path_a_mbps,tp_path_b_mbps,tp_total_mbps,path_b_share_pct,alpha_pid0,alpha_pid1,alpha_pid3,beta_pid0,beta_pid1,beta_pid3,gamma_pid0,gamma_pid1,gamma_pid3,gain_pid0,gain_pid1,gain_pid3,backoff_pid0,backoff_pid1,backoff_pid3,cwnd_bytes_pid0,cwnd_bytes_pid1,cwnd_bytes_pid3,inflight_bytes_pid0,inflight_bytes_pid1,inflight_bytes_pid3,bw_bps_pid0,bw_bps_pid1,bw_bps_pid3,owd_ms_pid0,owd_ms_pid1,owd_ms_pid3,loss_rate_pid0,loss_rate_pid1,loss_rate_pid3
0.0,0.031416,0.013816,0.045232,30.54474708171206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.028792,0.028904,0.057696,50.09706045479756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.047176,0.033032,0.080208,41.18292439656892,0.6,,,0.3,,,0.10000000000000002,,,1.0643333333333334,,,0.9774166666666666,,,46720.0,,,713.6666666666666,,,7379946.666666667,,,140.68141666666668,,,0.0,,
3.0,0.123648,0.029968,0.153616,19.508384543276744,0.6,0.6,0.6,0.3,0.3,0.3,0.1,0.1,0.1,1.1343270270270271,1.157692857142857,1.1598551724137933,0.9497837837837839,0.9390035714285715,0.9379965517241379,46720.0,46720.0,46720.0,231.56756756756758,1081.107142857143,993.448275862069,9877524.756756756,11888196.57142857,11936430.344827587,151.4753243243243,57.9068,53.87911034482759,0.0,0.0,0.0
4.0,0.009736,0.001608,0.011344,14.174894217207335,0.6,0.6,0.6,0.3,0.3,0.3,0.10000000000000002,0.10000000000000002,0.10000000000000002,1.1825,1.1851,1.1865,0.9305,0.9289,0.9281,46720.0,46720.0,46720.0,0.0,0.0,0.0,10054400.0,17554816.0,19412544.0,148.695,85.164,77.014,0.0,0.0,0.0
5.0,0.013824,0.020736,0.03456,60.0,0.6,0.6,0.6,0.3,0.3,0.3,0.10000000000000002,0.10000000000000002,0.10000000000000002,1.1825,1.1851,1.1865,0.9305,0.9289,0.9281,46720.0,46720.0,46720.0,0.0,0.0,0.0,10054400.0,17554816.0,19412544.0,148.695,85.164,77.014,0.0,0.0,0.0
6.0,0.027648,0.020736,0.048384,42.857142857142854,0.6,0.6,0.6,0.3,0.3,0.3,0.10000000000000002,0.10000000000000002,0.10000000000000002,1.1825,1.1851,1.1865,0.9305,0.9289,0.9281,46720.0,46720.0,46720.0,0.0,0.0,0.0,10054400.0,17554816.0,19412544.0,148.695,85.164,77.014,0.0,0.0,0.0
7.0,0.168216,0.079176,0.247392,32.00426852929763,0.6,0.6,0.6,0.3,0.3,0.3,0.1,0.1,0.1,1.1536941176470588,1.1757250000000001,1.1809027777777776,0.9415960784313725,0.9320194444444445,0.9292305555555556,46720.0,46720.0,46720.0,548.6078431372549,697.3888888888889,594.8333333333334,16307168.62745098,13981187.555555556,20741806.222222224,89.53985294117648,64.69157222222222,44.11842222222222,0.0,0.0,0.0
8.0,16.822736,0.718528,17.541264,4.096215643296857,0.6,0.6,0.6,0.3,0.3,0.3,0.1,0.1,0.1,1.184303896103896,1.1851468634686346,1.1897044728434505,0.9294476190476191,0.9289162361623616,0.9261766773162939,46720.0,102744.1328413284,207436.61341853035,0.0,94181.18081180812,199694.47284345047,15869194.528138528,38725715.36531366,115927071.28434505,97.8772316017316,84.95031734317344,58.77912619808307,0.0,0.0,0.0
9.0,20.93276,2.08296,23.01572,9.050162236940663,0.6,0.6,0.6,0.3,0.3,0.3,0.1,0.1,0.1,1.1825,1.1851,1.1862222222222223,0.9304999999999999,0.9289,0.9282666666666667,46720.0,46720.0,46720.0,0.0,26.056338028169016,41.31944444444444,10054400.0,17554816.0,19133148.444444444,148.695,85.164,78.50997222222222,0.0,0.0,0.0
