experiment,method,window,t_lo,t_hi,total_quic_wire_mbps_mean,path_a_quic_wire_mbps_mean,path_b_quic_wire_mbps_mean
Delay-only diagnostic,baseline,0-50,0.0,50.0,19.48281392,18.269161280000002,1.21365264
Delay-only diagnostic,baseline,50-90,50.0,90.0,24.7269846,22.3632148,2.3637698
Delay-only diagnostic,baseline,90-100,90.0,100.0,25.654303199999998,22.861290399999998,2.7930127999999996
Delay-only diagnostic,baseline,100-110,100.0,110.0,25.4903704,22.8209384,2.669432
Delay-only diagnostic,baseline,100-150,100.0,150.0,26.18330768,22.98311776,3.2001899199999992
Delay-only diagnostic,baseline,150-220,150.0,220.0,25.428032685714285,24.59626937142857,0.8317633142857144
Delay-only diagnostic,baseline,full,0.0,220.0,24.131321745454542,22.30679229090909,1.8245294545454545
Delay-only diagnostic,qaccess_t_dynamic,0-50,0.0,50.0,20.42551584,18.462969280000003,1.96254656
Delay-only diagnostic,qaccess_t_dynamic,50-90,50.0,90.0,25.4610628,22.502015,2.9590478
Delay-only diagnostic,qaccess_t_dynamic,90-100,90.0,100.0,25.99346,22.959261599999998,3.0341984
Delay-only diagnostic,qaccess_t_dynamic,100-110,100.0,110.0,25.5758792,22.8111488,2.7647304000000004
Delay-only diagnostic,qaccess_t_dynamic,100-150,100.0,150.0,26.081136319999995,22.890991519999996,3.1901448
Delay-only diagnostic,qaccess_t_dynamic,150-220,150.0,220.0,27.271887200000002,23.417918514285716,3.853968685714285
Delay-only diagnostic,qaccess_t_dynamic,full,0.0,220.0,25.057917381818186,21.984661600000003,3.073255781818182
