time_s,path_a_quic_wire_mbps,path_b_quic_wire_mbps,total_quic_wire_mbps
0.0,0.041648,0.00784,0.049488
1.0,0.030776,0.028648,0.059424
2.0,0.0336,0.031992,0.065592
3.0,0.13088,0.03588,0.16676
4.0,0.007408,0.0028,0.010208
5.0,0.006912,0.020736,0.027648
6.0,0.006912,0.013824,0.020736
7.0,0.145472,0.042384,0.187856
8.0,11.023016,0.188592,11.211608
9.0,21.475432,1.869672,23.345104
10.0,21.858432,1.518448,23.37688
11.0,21.504576,2.108736,23.613312
12.0,22.105184,2.149584,24.254768
13.0,21.519368,1.551624,23.070992
14.0,21.543104,2.179416,23.72252
15.0,22.161664,1.613688,23.775352
16.0,21.564168,2.18876,23.752928
17.0,21.597816,2.245632,23.843448
18.0,22.20876,1.642496,23.851256
19.0,21.615848,2.28088,23.896728
20.0,21.646904,1.687656,23.33456
21.0,22.289392,2.291416,24.580808
22.0,21.653232,2.28896,23.942192
23.0,21.996584,0.339552,22.336136
24.0,22.038976,0.29492,22.333896
25.0,21.667344,0.419296,22.08664
26.0,22.362216,1.02348,23.385696
27.0,21.775144,0.831928,22.607072
28.0,21.740624,1.13204,22.872664
29.0,22.471272,1.153088,23.62436
30.0,21.82008,0.908704,22.728784
31.0,21.797016,1.25496,23.051976
32.0,22.546928,0.975512,23.52244
33.0,21.813848,1.27588,23.089728
34.0,21.91368,1.334008,23.247688
35.0,22.535072,1.055968,23.59104
36.0,21.886,1.387232,23.273232
37.0,22.395624,1.119704,23.515328
38.0,22.117648,1.443248,23.560896
39.0,21.918544,1.464704,23.383248
40.0,22.562984,1.189624,23.752608
41.0,22.021168,1.557,23.578168
42.0,21.968288,1.2422,23.210488
43.0,22.593456,1.61996,24.213416
44.0,22.016536,1.625792,23.642328
45.0,22.00528,1.364104,23.369384
46.0,22.610528,1.734488,24.345016
47.0,22.03508,1.387584,23.422664
48.0,22.0196,1.755648,23.775248
49.0,22.65804,1.802344,24.460384
50.0,22.044552,1.532912,23.577464
51.0,22.332304,1.898624,24.230928
52.0,22.385728,1.544672,23.9304
53.0,22.069448,1.926904,23.996352
54.0,22.64288,2.023552,24.666432
55.0,22.116048,1.658272,23.77432
56.0,22.118728,2.110208,24.228936
57.0,22.598648,1.704328,24.302976
58.0,22.164096,2.122784,24.28688
59.0,22.101808,2.148384,24.250192
60.0,22.675272,1.891552,24.566824
61.0,22.134584,2.266112,24.400696
62.0,22.043032,1.88928,23.932312
63.0,22.701896,2.32096,25.022856
64.0,22.110232,2.3546,24.464832
65.0,22.147544,2.079224,24.226768
66.0,22.682216,2.5006,25.182816
67.0,22.08124,2.066496,24.147736
68.0,22.312872,2.532472,24.845344
69.0,22.482576,2.478976,24.961552
70.0,22.087496,2.349824,24.43732
71.0,22.367256,2.625264,24.99252
72.0,22.4498,2.339064,24.788864
73.0,22.136856,2.675904,24.81276
74.0,22.687584,2.742352,25.429936
75.0,22.161872,2.436088,24.59796
76.0,22.140688,2.825016,24.965704
77.0,22.77572,2.383096,25.158816
78.0,22.191336,2.834512,25.025848
79.0,22.240968,2.84524,25.086208
80.0,22.790496,2.503472,25.293968
81.0,22.223224,2.931584,25.154808
82.0,22.294064,2.442048,24.736112
83.0,22.860008,2.961312,25.82132
84.0,22.296464,2.82144,25.117904
85.0,22.38636,2.73572,25.12208
86.0,22.825672,2.952968,25.77864
87.0,22.371832,2.56988,24.941712
88.0,22.504336,3.076456,25.580792
89.0,22.790856,2.44864,25.239496
90.0,22.475392,3.000328,25.47572
91.0,23.080992,2.528504,25.609496
92.0,22.595176,2.86664,25.461816
93.0,23.03452,2.660144,25.694664
94.0,22.739504,2.484488,25.223992
95.0,22.953616,3.098632,26.052248
96.0,23.033584,2.554544,25.588128
97.0,22.778688,3.027808,25.806496
98.0,23.183008,2.673408,25.856416
99.0,22.738424,3.035632,25.774056
100.0,23.04068,2.485344,25.526024
101.0,22.722152,2.608624,25.330776
102.0,22.627552,2.324528,24.95208
103.0,23.026312,2.785496,25.811808
104.0,22.693976,2.599584,25.29356
105.0,22.60332,2.729224,25.332544
106.0,23.09108,2.777128,25.868208
107.0,22.703296,2.553904,25.2572
108.0,22.590512,2.978952,25.569464
109.0,23.110504,2.851536,25.96204
110.0,22.560344,2.843224,25.403568
111.0,22.603632,3.008384,25.612016
112.0,23.178416,2.848128,26.026544
113.0,22.593544,3.10256,25.696104
114.0,22.677016,2.996936,25.673952
115.0,23.0804,3.159928,26.240328
116.0,22.609856,3.18616,25.796016
117.0,22.755864,3.043016,25.79888
