time_s,path_a_quic_wire_mbps,path_b_quic_wire_mbps,total_quic_wire_mbps
0.0,0.02784,0.02784,0.05568
1.0,0.03084,0.033976,0.064816
2.0,0.084912,0.023616,0.108528
3.0,0.065248,0.03184,0.097088
4.0,0.0,0.006912,0.006912
5.0,0.0,0.0,0.0
6.0,0.056512,0.027648,0.08416
7.0,2.401288,0.042,2.443288
8.0,19.929152,1.338208,21.26736
9.0,21.99452,1.55188,23.5464
10.0,21.979312,2.208,24.187312
11.0,21.42944,2.232064,23.661504
12.0,22.012264,2.239632,24.251896
13.0,21.447696,1.70988,23.157576
14.0,22.080512,2.285952,24.366464
15.0,21.498632,2.34628,23.844912
16.0,21.507912,1.783016,23.290928
17.0,22.122536,2.308248,24.430784
18.0,21.739464,2.387168,24.126632
19.0,21.974304,2.396696,24.371
20.0,21.55192,1.817064,23.368984
21.0,22.220616,2.42452,24.645136
22.0,21.568608,2.451176,24.019784
23.0,21.988632,1.882048,23.87068
24.0,21.901656,2.485208,24.386864
25.0,21.622584,2.423184,24.045768
26.0,22.296312,2.018096,24.314408
27.0,21.689936,2.495776,24.185712
28.0,22.006312,2.307216,24.313528
29.0,22.063504,2.281224,24.344728
30.0,21.698768,2.596856,24.295624
31.0,22.318888,2.09696,24.415848
32.0,21.892712,2.577576,24.470288
33.0,21.788696,2.620512,24.409208
34.0,22.425016,2.183768,24.608784
35.0,21.828744,2.660376,24.48912
36.0,21.995824,2.161096,24.15692
37.0,22.316616,2.664832,24.981448
38.0,21.878264,2.67028,24.548544
39.0,22.159208,2.306616,24.465824
40.0,22.235944,2.72296,24.958904
41.0,21.949992,2.234768,24.18476
42.0,22.09796,2.784992,24.882952
43.0,22.395696,2.314144,24.70984
44.0,22.00348,2.750568,24.754048
45.0,22.049256,2.704936,24.754192
46.0,22.544472,2.49716,25.041632
47.0,22.042248,2.809904,24.852152
48.0,21.615624,2.389504,24.005128
49.0,22.618592,2.813152,25.431744
50.0,22.138496,2.471256,24.609752
51.0,21.993624,2.822752,24.816376
52.0,22.552816,2.539512,25.092328
53.0,22.39124,2.883832,25.275072
54.0,22.074536,2.539968,24.614504
55.0,22.193832,2.912248,25.10608
56.0,22.71348,2.534304,25.247784
57.0,21.932104,2.937384,24.869488
58.0,21.87944,2.592624,24.472064
59.0,22.503472,2.969744,25.473216
60.0,22.524112,2.634096,25.158208
61.0,22.268016,2.996728,25.264744
62.0,22.140536,2.684456,24.824992
63.0,22.719696,3.03504,25.754736
64.0,22.319168,2.56908,24.888248
65.0,22.251136,3.08644,25.337576
66.0,22.223704,2.688896,24.9126
67.0,22.569736,3.014768,25.584504
68.0,22.640368,2.748616,25.388984
69.0,22.316008,2.92652,25.242528
70.0,22.313496,2.97768,25.291176
71.0,22.577592,2.835904,25.413496
72.0,22.694336,3.104416,25.798752
73.0,22.434896,2.796072,25.230968
74.0,22.4234,3.118984,25.542384
75.0,22.7104,3.08716,25.79756
76.0,23.874128,4.422544,28.296672
77.0,22.490624,3.464296,25.95492
78.0,22.971976,2.933224,25.9052
79.0,22.496688,3.295816,25.792504
80.0,22.572704,2.7966,25.369304
81.0,22.486576,3.323104,25.80968
82.0,22.521368,3.017984,25.539352
83.0,23.074432,3.093416,26.167848
84.0,22.651296,3.16196,25.813256
85.0,22.553344,2.955192,25.508536
86.0,22.47796,3.244752,25.722712
87.0,22.601088,3.082984,25.684072
88.0,22.62132,3.039728,25.661048
89.0,23.187456,3.021832,26.209288
90.0,22.714552,2.979264,25.693816
91.0,22.767704,2.930464,25.698168
92.0,23.373408,2.986656,26.360064
93.0,22.677168,3.1036,25.780768
94.0,23.010096,3.011496,26.021592
95.0,23.248816,2.995512,26.244328
96.0,22.7598,3.080256,25.840056
97.0,23.133104,3.118208,26.251312
98.0,23.164336,3.10048,26.264816
99.0,22.743632,3.036048,25.77968
100.0,22.739848,2.736272,25.47612
101.0,23.032792,2.762808,25.7956
102.0,23.001328,2.43228,25.433608
103.0,22.706536,2.849736,25.556272
104.0,22.758632,2.828592,25.587224
105.0,22.710736,2.547672,25.258408
106.0,22.698096,2.922728,25.620824
107.0,22.726512,2.87044,25.596952
108.0,22.83812,2.674744,25.512864
109.0,22.898888,3.022032,25.92092
110.0,22.885848,2.953744,25.839592
111.0,22.78736,2.732976,25.520336
112.0,22.732232,3.135072,25.867304
113.0,22.733056,3.056048,25.789104
