leg,window,tp_total_mbps,tp_path_a_mbps,tp_path_b_mbps
delay_baseline,0-50 normal,19.311107102040815,18.09898726530612,1.2121198367346941
delay_baseline,50-90 pre-stress,23.6131956,20.26686,3.3463355999999997
delay_baseline,90-100 stress,24.878850399999997,20.3768792,4.5019712
delay_baseline,100-150 recovery,22.21231008,21.3215944,0.8907156799999999
delay_baseline,150-200 stable,23.987105440000004,23.68404176,0.30306368
delay_baseline,0-200 full,22.359454030150754,20.862187819095475,1.4972662110552761
delay_qaccess_dynamic,0-50 normal,20.592272816326535,18.646717224489798,1.9455555918367349
delay_qaccess_dynamic,50-90 pre-stress,24.6144588,21.749242000000002,2.8652168
delay_qaccess_dynamic,90-100 stress,23.662384,20.200686400000002,3.4616976
delay_qaccess_dynamic,100-150 recovery,25.010012159999995,20.193710720000002,4.81630144
delay_qaccess_dynamic,150-200 stable,26.93672464,20.320729120000003,6.61599552
delay_qaccess_dynamic,0-200 full,24.259097487437188,20.157727035175878,4.101370452261307
