time_s,path_a_quic_wire_mbps,path_b_quic_wire_mbps,total_quic_wire_mbps
0.0,0.02784,0.024248,0.052088
1.0,0.040888,0.034432,0.07532
2.0,0.12092,0.043032,0.163952
3.0,0.03772,0.005032,0.042752
4.0,0.013824,0.013824,0.027648
5.0,0.013824,0.020736,0.03456
6.0,0.020736,0.020736,0.041472
7.0,0.001624,0.001624,0.003248
8.0,0.0,0.0,0.0
9.0,0.069296,0.027416,0.096712
10.0,11.162736,0.199536,11.362272
11.0,21.087232,1.431624,22.518856
12.0,21.269048,1.609144,22.878192
13.0,21.05308,1.637152,22.690232
14.0,21.316872,1.65908,22.975952
15.0,20.713072,0.455008,21.16808
16.0,21.314968,0.456408,21.771376
17.0,21.300296,0.43612,21.736416
18.0,21.388016,0.438648,21.826664
19.0,21.41476,0.441584,21.856344
20.0,21.430536,0.441048,21.871584
21.0,21.13376,0.442848,21.576608
22.0,21.135048,0.442248,21.577296
23.0,21.433584,0.436784,21.870368
24.0,21.563136,0.438648,22.001784
25.0,21.61508,0.438048,22.053128
26.0,21.632904,0.440448,22.073352
27.0,20.904136,0.442248,21.346384
28.0,21.701824,0.438648,22.140472
29.0,21.718136,0.440448,22.158584
30.0,21.766016,0.436848,22.202864
31.0,21.632976,0.439008,22.071984
32.0,21.012632,0.438048,21.45068
33.0,21.83844,0.439248,22.277688
34.0,21.845448,0.438648,22.284096
35.0,21.91992,0.437448,22.357368
36.0,21.761784,0.435048,22.196832
37.0,21.173192,0.43748,21.610672
38.0,20.496272,0.400848,20.89712
39.0,22.010848,0.444264,22.455112
40.0,20.4724,0.425952,20.898352
41.0,21.954016,0.436248,22.390264
42.0,21.933632,0.434448,22.36808
43.0,21.48632,0.418248,21.904568
44.0,21.235088,0.426048,21.661136
45.0,21.823016,0.439248,22.262264
46.0,22.049888,0.436248,22.486136
47.0,22.238704,0.429584,22.668288
48.0,22.125648,0.429048,22.554696
49.0,21.138704,0.431448,21.570152
50.0,22.296528,0.434448,22.730976
51.0,22.291288,0.435648,22.726936
52.0,22.35796,0.430848,22.788808
53.0,21.452288,0.431448,21.883736
54.0,22.347848,0.433248,22.781096
55.0,22.4842,0.438376,22.922576
