time_s,path_a_quic_wire_mbps,path_b_quic_wire_mbps,total_quic_wire_mbps
0.0,0.031392,0.024248,0.05564
1.0,0.030336,0.032824,0.06316
2.0,0.030472,0.035272,0.065744
3.0,0.1162,0.030232,0.146432
4.0,0.00828,0.002192,0.010472
5.0,0.0,0.0,0.0
6.0,0.013824,0.013824,0.027648
7.0,0.087992,0.056096,0.144088
8.0,11.60736,0.207752,11.815112
9.0,21.147368,2.003736,23.151104
10.0,21.961336,2.198368,24.159704
11.0,21.381112,1.64152,23.022632
12.0,22.005152,2.234424,24.239576
13.0,21.41192,2.282056,23.693976
14.0,21.443936,1.968992,23.412928
15.0,22.04468,2.00588,24.05056
16.0,21.452816,2.341536,23.794352
17.0,21.498,2.263032,23.761032
18.0,22.116352,1.8212,23.937552
19.0,21.508224,2.380424,23.888648
20.0,21.521352,2.359384,23.880736
21.0,22.051904,1.845936,23.89784
22.0,20.70388,2.398192,23.102072
23.0,21.565448,2.04516,23.610608
24.0,21.607384,2.25644,23.863824
25.0,22.185672,2.456,24.641672
26.0,21.638112,1.978312,23.616424
27.0,21.61456,2.446064,24.060624
28.0,21.727112,2.52012,24.247232
29.0,22.19372,1.957552,24.151272
30.0,21.68728,2.590224,24.277504
31.0,21.717256,2.565656,24.282912
32.0,22.017632,2.017472,24.035104
33.0,22.05592,2.61416,24.67008
34.0,21.7244,2.11048,23.83488
35.0,21.800648,2.626744,24.427392
36.0,22.102952,2.635592,24.738544
37.0,22.0904,2.119272,24.209672
38.0,21.775432,2.702344,24.477776
39.0,21.850904,2.197728,24.048632
40.0,18.747368,2.598768,21.346136
41.0,22.047952,2.334664,24.382616
42.0,22.140752,2.654312,24.795064
43.0,21.836808,2.585128,24.421936
44.0,21.966792,2.398584,24.365376
45.0,22.12184,2.823712,24.945552
46.0,22.312536,2.268872,24.581408
47.0,21.93616,2.9154,24.85156
48.0,21.921872,2.2888,24.210672
49.0,22.01708,2.881136,24.898216
50.0,22.242512,2.446576,24.689088
51.0,22.398632,2.832848,25.23148
52.0,22.039912,2.63868,24.678592
53.0,22.011592,2.68192,24.693512
54.0,22.108496,2.804872,24.913368
55.0,22.465136,2.553736,25.018872
56.0,22.284936,2.861376,25.146312
57.0,22.102696,2.552376,24.655072
58.0,22.046712,2.969144,25.015856
59.0,22.156568,2.528672,24.68524
60.0,22.41788,3.028616,25.446496
61.0,22.511216,2.53484,25.046056
62.0,22.185568,3.074392,25.25996
63.0,22.1026,2.571664,24.674264
64.0,22.173824,2.862808,25.036632
65.0,22.188064,2.791328,24.979392
66.0,22.27312,2.752808,25.025928
67.0,22.557584,3.010864,25.568448
68.0,22.423672,2.684184,25.107856
69.0,22.264304,3.108232,25.372536
70.0,22.225144,2.687624,24.912768
71.0,22.228776,3.071824,25.3006
72.0,22.25316,2.746312,24.999472
73.0,22.346624,3.119304,25.465928
74.0,22.610992,2.709088,25.32008
75.0,22.589664,3.004904,25.594568
76.0,22.3036,2.935576,25.239176
77.0,22.401,2.876208,25.277208
78.0,22.308632,3.107232,25.415864
79.0,22.335416,2.919216,25.254632
80.0,22.362136,3.102984,25.46512
81.0,22.408224,2.891448,25.299672
82.0,22.561992,2.968464,25.530456
83.0,22.599032,3.170912,25.769944
84.0,22.6134,3.054192,25.667592
85.0,22.498864,3.063656,25.56252
86.0,22.435912,2.249584,24.685496
87.0,22.498008,2.519056,25.017064
88.0,22.397576,2.705032,25.102608
89.0,22.434048,2.461224,24.895272
90.0,22.419624,2.741784,25.161408
91.0,22.469048,2.5348,25.003848
92.0,22.39804,2.69552,25.09356
93.0,22.424624,2.81552,25.240144
94.0,22.47176,2.574752,25.046512
95.0,22.623168,2.7632,25.386368
96.0,22.505688,2.896936,25.402624
97.0,22.553168,2.737848,25.291016
98.0,22.473128,2.812352,25.28548
99.0,22.461176,3.126376,25.587552
100.0,22.437896,2.744208,25.182104
101.0,22.420512,2.917848,25.33836
102.0,22.412264,3.186888,25.599152
103.0,22.566608,2.847096,25.413704
104.0,22.429264,2.931936,25.3612
105.0,22.358976,3.153488,25.512464
106.0,22.435512,2.94756,25.383072
107.0,22.489016,2.935432,25.424448
108.0,22.48348,3.238296,25.721776
109.0,22.492888,2.914088,25.406976
110.0,22.503408,3.101992,25.6054
111.0,22.50952,3.256328,25.765848
112.0,22.601792,2.91836,25.520152
113.0,22.541232,3.13236,25.673592
114.0,22.557984,3.081128,25.639112
115.0,22.57044,3.201832,25.772272
116.0,22.575664,3.041288,25.616952
117.0,22.589496,3.103288,25.692784
118.0,22.641424,3.334368,25.975792
119.0,22.633672,3.108104,25.741776
120.0,22.506184,3.106928,25.613112
121.0,22.634848,3.426912,26.06176
122.0,22.67544,3.009064,25.684504
123.0,22.613296,3.233008,25.846304
124.0,22.680928,3.074416,25.755344
125.0,22.690112,3.434056,26.124168
126.0,22.684152,3.162448,25.8466
127.0,22.702824,1.813592,24.516416
128.0,22.820568,0.391872,23.21244
129.0,22.737504,0.389328,23.126832
130.0,22.804896,0.376984,23.18188
131.0,22.777872,0.377656,23.155528
132.0,22.82396,0.37696,23.20092
133.0,22.855816,0.37704,23.232856
134.0,22.87012,0.377064,23.247184
135.0,22.922104,0.375728,23.297832
136.0,22.968384,0.375192,23.343576
137.0,22.999464,0.375832,23.375296
138.0,23.033056,0.375808,23.408864
139.0,23.073408,0.375808,23.449216
140.0,23.073928,0.375192,23.44912
141.0,23.07792,0.373368,23.451288
142.0,23.178744,0.375112,23.553856
143.0,23.198936,0.375192,23.574128
144.0,23.213608,0.372112,23.58572
145.0,23.255232,0.3746,23.629832
146.0,23.295736,0.37396,23.669696
147.0,23.311912,0.372112,23.684024
148.0,23.36392,0.373344,23.737264
149.0,23.378544,0.370904,23.749448
150.0,23.323272,0.372112,23.695384
151.0,23.451632,0.377448,23.82908
152.0,23.501544,0.388016,23.88956
153.0,23.506728,0.38752,23.894248
154.0,23.56592,0.38696,23.95288
155.0,23.591408,0.38752,23.978928
156.0,23.588304,0.388112,23.976416
157.0,23.66348,0.455568,24.119048
158.0,23.639496,0.464296,24.103792
159.0,23.71024,0.475352,24.185592
160.0,23.742096,0.51636,24.258456
161.0,23.746584,0.501528,24.248112
162.0,23.818152,0.523728,24.34188
163.0,23.864128,0.535456,24.399584
164.0,23.87264,0.525816,24.398456
165.0,23.818544,0.567632,24.386176
166.0,23.941696,0.601656,24.543352
167.0,23.946616,0.56704,24.513656
168.0,23.979952,0.601656,24.581608
169.0,23.96088,0.609912,24.570792
170.0,23.997648,0.656104,24.653752
171.0,24.032104,0.655512,24.687616
172.0,24.03408,0.644352,24.678432
173.0,24.05048,0.677144,24.727624
174.0,23.969456,0.697568,24.667024
175.0,24.1626,0.78912,24.95172
176.0,24.01308,0.743368,24.756448
177.0,23.927528,0.721072,24.6486
178.0,24.233104,0.764384,24.997488
179.0,24.21452,0.795536,25.010056
180.0,24.335064,0.872016,25.20708
181.0,24.23876,0.825624,25.064384
182.0,24.269688,0.822536,25.092224
183.0,24.263088,0.84736,25.110448
184.0,24.410008,0.89524,25.305248
185.0,24.226288,0.903576,25.129864
186.0,24.458952,0.931336,25.390288
187.0,24.362864,0.863,25.225864
188.0,24.357712,0.913456,25.271168
189.0,24.460576,0.96916,25.429736
190.0,24.17124,0.931256,25.102496
191.0,24.535952,1.01952,25.555472
192.0,24.317312,0.935784,25.253096
193.0,24.389296,0.974736,25.364032
194.0,24.50636,1.005704,25.512064
195.0,24.637896,1.049608,25.687504
196.0,24.50636,1.027336,25.533696
197.0,24.491896,1.146064,25.63796
198.0,24.661376,1.025464,25.68684
199.0,24.508336,1.093536,25.601872
200.0,24.676592,1.093536,25.770128
201.0,24.59264,1.131616,25.724256
202.0,24.657872,1.128584,25.786456
203.0,24.569224,1.18016,25.749384
204.0,24.448808,1.136848,25.585656
205.0,24.613896,1.114576,25.728472
206.0,24.839472,1.253248,26.09272
207.0,24.726352,1.213592,25.939944
208.0,24.776864,1.239744,26.016608
209.0,24.797904,1.229312,26.027216
210.0,24.725032,1.245744,25.970776
211.0,24.718176,1.202296,25.920472
212.0,24.8674,1.284968,26.152368
213.0,24.658992,1.289672,25.948664
214.0,24.852968,1.357744,26.210712
215.0,24.587792,1.305736,25.893528
216.0,24.95716,1.36888,26.32604
217.0,24.920976,1.34412,26.265096
218.0,24.803008,1.311944,26.114952
219.0,24.914408,1.321848,26.236256
220.0,25.007712,1.417072,26.424784
221.0,24.714944,1.404368,26.119312
222.0,24.866416,1.46664,26.333056
223.0,24.840888,1.478032,26.31892
224.0,24.71804,1.482752,26.200792
225.0,20.767576,1.17496,21.942536
