second,pathA_quic_mbps,pathB_quic_mbps,total_quic_mbps,session_key,session_label,role,global_t0,run_id
0,0.010024,0.031416,0.04144,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
1,0.032696,0.035704,0.0684,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
2,0.029456,0.025224,0.05468,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
3,0.1342,0.024376,0.15857600000000002,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
4,0.005424,0.005048,0.010472,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
5,0.0,0.006912,0.006912,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
6,0.006912,0.006912,0.013824,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
7,0.113,0.029272,0.142272,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
8,10.642072,0.229888,10.871960000000001,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
9,21.098776,1.447496,22.546272000000002,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
10,21.323944,1.643744,22.967688000000003,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
11,21.32628,1.669624,22.995904,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
12,20.716776,1.686152,22.402928,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
13,21.35408,1.678368,23.032448,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
14,21.332064,1.686488,23.018552,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
15,21.373984,1.712808,23.086792,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
16,21.337792,1.714784,23.052576000000002,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
17,21.257048,1.703032,22.96008,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
18,20.896656,0.455784,21.35244,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
19,21.410976,0.451608,21.862584000000002,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
20,21.408928,0.440384,21.849312,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
21,21.420016,0.443384,21.8634,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
22,20.946448,0.444048,21.390496,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
