second,pathA_quic_mbps,pathB_quic_mbps,total_quic_mbps,session_key,session_label,role,global_t0,run_id
0,0.024248,0.041664,0.065912,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
1,0.030952,0.03084,0.061792,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
2,0.03408,0.026752,0.060832,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
3,0.120656,0.020088,0.140744,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
4,0.017408,0.008104,0.025512,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
5,0.0,0.0,0.0,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
6,0.013824,0.006912,0.020735999999999997,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
7,0.063,0.015448,0.078448,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
8,7.764368,0.175056,7.939424,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
9,20.659856,1.823096,22.482952,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
10,21.191056,1.994248,23.185304,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
11,21.337936,2.47668,23.814616,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
12,21.347,1.785184,23.132184000000002,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
13,21.196528,1.776784,22.973312,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
14,20.68624,1.784584,22.470824,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
15,21.219128,1.801296,23.020424000000002,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
16,21.428304,1.792736,23.221040000000002,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
17,21.454944,1.805072,23.260016,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
18,21.308288,1.80508,23.113368,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
19,21.431448,1.827928,23.259376,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
20,20.784968,2.094592,22.879559999999998,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
21,20.101744,2.161392,22.263136,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
22,20.121232,1.90764,22.028872,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
23,20.099992,1.881192,21.981184,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
24,20.13236,1.905816,22.038176,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
25,20.161824,1.938104,22.099928,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
26,20.1652,1.980816,22.146016,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
27,20.17308,2.001288,22.174367999999998,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
28,20.208472,2.02656,22.235032,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
29,20.216344,2.069856,22.2862,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
30,20.243152,2.102736,22.345888,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
