time_s,path_a_quic_wire_mbps,path_b_quic_wire_mbps,total_quic_wire_mbps
0.0,0.031416,0.027808,0.059224
1.0,0.028792,0.032224,0.061016
2.0,0.138928,0.052624,0.191552
3.0,0.017424,0.002816,0.02024
4.0,0.00852,0.001608,0.010128
5.0,0.013824,0.020736,0.03456
6.0,0.061368,0.020736,0.082104
7.0,6.145688,0.133664,6.279352
8.0,21.254216,1.283264,22.53748
9.0,21.49748,2.093024,23.590504
10.0,22.08204,2.112784,24.194824
11.0,21.528416,1.541032,23.069448
12.0,22.0916,2.18424,24.27584
13.0,21.556808,1.6196,23.176408
14.0,21.56396,2.139696,23.703656
15.0,22.167312,2.222592,24.389904
16.0,21.625896,1.637952,23.263848
17.0,22.171616,2.242656,24.414272
18.0,21.648064,2.294504,23.942568
19.0,21.672704,1.66476,23.337464
20.0,22.2342,2.325424,24.559624
21.0,21.7082,2.30944,24.01764
22.0,22.090888,1.757448,23.848336
23.0,21.859752,2.332928,24.19268
24.0,21.764808,2.380448,24.145256
25.0,22.35728,1.810136,24.167416
26.0,21.777952,2.400944,24.178896
27.0,21.829944,1.919632,23.749576
28.0,22.28696,2.349104,24.636064
29.0,21.872088,2.53468,24.406768
30.0,22.41712,1.848256,24.265376
31.0,21.900688,2.5432,24.443888
32.0,21.84844,2.521368,24.369808
33.0,22.502424,1.97688,24.479304
34.0,21.953304,2.60364,24.556944
35.0,22.481504,2.558616,25.04012
36.0,21.960624,2.056944,24.017568
37.0,21.975584,2.65132,24.626904
38.0,22.57548,2.3236,24.89908
39.0,22.039144,2.368272,24.407416
40.0,22.206976,2.739184,24.94616
41.0,22.352192,2.048288,24.40048
42.0,22.068552,2.756096,24.824648
43.0,22.576088,2.764872,25.34096
44.0,22.206496,2.194488,24.400984
45.0,22.044888,2.802888,24.847776
46.0,22.703312,2.771224,25.474536
47.0,22.18128,2.248448,24.429728
48.0,22.601888,2.922784,25.524672
49.0,22.314728,2.490704,24.805432
50.0,22.14728,2.635888,24.783168
51.0,22.757904,2.992536,25.75044
52.0,22.32452,2.273136,24.597656
53.0,22.366728,2.962704,25.329432
54.0,22.663984,3.026432,25.690416
55.0,22.3034,2.31592,24.61932
56.0,22.720144,3.051472,25.771616
57.0,22.50744,2.916792,25.424232
58.0,22.25528,2.52744,24.78272
59.0,22.893424,3.1354,26.028824
60.0,22.434328,2.721216,25.155544
61.0,22.721584,2.83696,25.558544
62.0,22.652552,3.12784,25.780392
63.0,22.312816,2.551816,24.864632
64.0,22.87816,3.151032,26.029192
65.0,22.6538,3.167848,25.821648
66.0,22.4646,2.58224,25.04684
67.0,22.963264,3.226664,26.189928
68.0,22.508296,3.070608,25.578904
69.0,22.912624,2.81256,25.725184
70.0,22.399936,3.259032,25.658968
71.0,18.991856,2.646136,21.637992
72.0,22.808448,3.340216,26.148664
73.0,22.295904,3.067352,25.363256
74.0,22.448576,2.897112,25.345688
75.0,22.891888,3.47396,26.365848
76.0,23.005528,2.641864,25.647392
77.0,22.778712,3.505504,26.284216
78.0,23.151272,3.379608,26.53088
