time_s,path_a_quic_wire_mbps,path_b_quic_wire_mbps,total_quic_wire_mbps
0.0,0.024248,0.031416,0.055664
1.0,0.029344,0.0304,0.059744
2.0,0.037664,0.023616,0.06128
3.0,0.114056,0.031816,0.145872
4.0,0.00624,0.00752,0.01376
5.0,0.013824,0.006912,0.020736
6.0,0.027648,0.03456,0.062208
7.0,0.053912,0.008536,0.062448
8.0,6.002488,0.117096,6.119584
9.0,21.187672,1.3392,22.526872
10.0,21.979424,2.181192,24.160616
11.0,21.932232,2.445792,24.378024
12.0,21.393888,2.045064,23.438952
13.0,21.973056,2.28544,24.258496
14.0,21.466408,2.264864,23.731272
15.0,22.0618,1.856272,23.918072
16.0,21.493544,2.183368,23.676912
17.0,21.920392,2.363928,24.28432
18.0,21.510864,2.379272,23.890136
19.0,22.019048,2.180336,24.199384
20.0,21.526864,1.987688,23.514552
21.0,22.185552,2.404232,24.589784
22.0,21.2724,2.1734,23.4458
23.0,21.974632,2.090624,24.065256
24.0,21.763192,2.499976,24.263168
25.0,21.62112,2.1042,23.72532
26.0,22.264104,2.283232,24.547336
27.0,21.649144,2.483408,24.132552
28.0,21.805536,1.99612,23.801656
29.0,22.179552,2.53564,24.715192
30.0,21.597608,2.402616,24.000224
31.0,21.90912,2.155424,24.064544
32.0,21.757536,2.659464,24.417
33.0,21.747248,2.162896,23.910144
34.0,22.442936,2.5414,24.984336
35.0,21.817752,2.497272,24.315024
36.0,21.789992,2.24988,24.039872
37.0,22.461552,2.705096,25.166648
38.0,21.847008,2.241056,24.088064
39.0,21.922712,2.639928,24.56264
40.0,22.466968,2.489416,24.956384
41.0,21.80228,2.439272,24.241552
42.0,21.885848,2.661888,24.547736
43.0,22.507752,2.328792,24.836544
44.0,21.993848,2.854536,24.848384
45.0,21.875128,2.249576,24.124704
46.0,22.630344,2.892656,25.523
47.0,21.95644,2.418272,24.374712
48.0,21.95724,2.716696,24.673936
49.0,22.453936,2.700736,25.154672
50.0,22.167232,2.58488,24.752112
51.0,22.026992,2.726976,24.753968
52.0,22.252096,2.572408,24.824504
53.0,22.57008,2.850544,25.420624
54.0,22.13364,2.507616,24.641256
55.0,22.075008,2.916536,24.991544
56.0,22.61284,2.514312,25.127152
57.0,22.331256,2.952224,25.28348
58.0,22.033784,2.55596,24.589744
59.0,22.124048,2.904216,25.028264
60.0,22.478408,2.62628,25.104688
61.0,22.350672,2.823616,25.174288
62.0,21.89168,2.855816,24.747496
63.0,22.704288,2.949184,25.653472
64.0,22.293328,2.727032,25.02036
65.0,22.297704,2.80852,25.106224
66.0,21.79368,2.879712,24.673392
67.0,22.53056,2.523992,25.054552
68.0,22.592536,3.238944,25.83148
69.0,22.380216,2.619176,24.999392
70.0,22.011056,3.129632,25.140688
71.0,23.36728,4.64712,28.0144
72.0,22.715832,3.175536,25.891368
73.0,23.042096,3.428272,26.470368
74.0,21.684824,3.165544,24.850368
75.0,20.205312,3.55152,23.756832
76.0,20.114832,6.882952,26.997784
77.0,19.584072,6.645056,26.229128
78.0,20.169392,3.773352,23.942744
79.0,20.209968,3.530384,23.740352
80.0,20.196576,3.859744,24.05632
81.0,20.196624,4.098584,24.295208
82.0,20.208792,4.148376,24.357168
83.0,20.189032,4.202552,24.391584
84.0,20.205856,3.794592,24.000448
85.0,20.208016,4.211112,24.419128
86.0,20.206624,3.8352,24.041824
87.0,20.211976,4.494904,24.70688
88.0,20.236368,4.339008,24.575376
89.0,20.268768,4.141152,24.40992
90.0,20.375832,4.075072,24.450904
91.0,20.33584,4.571864,24.907704
92.0,20.393184,4.269288,24.662472
93.0,20.390504,3.48592,23.876424
94.0,20.448016,3.582528,24.030544
95.0,20.505056,3.274448,23.779504
96.0,20.516704,3.949488,24.466192
97.0,20.492776,3.428296,23.921072
98.0,20.575352,2.80604,23.381392
99.0,20.625584,3.366816,23.9924
100.0,20.530336,3.090088,23.620424
101.0,20.534432,3.014576,23.549008
102.0,20.569312,3.583704,24.153016
103.0,20.691608,3.39592,24.087528
104.0,20.594216,2.949552,23.543768
105.0,20.63304,1.113888,21.746928
106.0,20.750416,0.362864,21.11328
107.0,20.634112,0.346856,20.980968
108.0,20.806624,0.349344,21.155968
109.0,20.721024,0.34688,21.067904
110.0,20.913792,0.348088,21.26188
111.0,20.81052,0.346264,21.156784
112.0,20.851432,0.348728,21.20016
113.0,21.059208,0.345008,21.404216
114.0,20.914592,0.348112,21.262704
115.0,21.15716,0.346264,21.503424
116.0,21.002808,0.358168,21.360976
117.0,21.161696,0.363048,21.524744
118.0,21.232856,0.363608,21.596464
119.0,21.063768,0.362992,21.42676
120.0,21.452632,0.362432,21.815064
121.0,21.201072,0.362376,21.563448
122.0,21.224504,0.359352,21.583856
123.0,21.6276,0.364224,21.991824
124.0,21.156624,0.359352,21.515976
125.0,21.545576,0.360584,21.90616
126.0,21.54604,0.362376,21.908416
127.0,21.429256,0.360976,21.790232
128.0,21.671,0.361144,22.032144
129.0,21.7354,0.358736,22.094136
130.0,21.53508,0.3612,21.89628
131.0,21.879392,0.359296,22.238688
132.0,21.788552,0.357504,22.146056
133.0,21.676856,0.357504,22.03436
134.0,22.023136,0.357504,22.38064
135.0,21.923048,0.356888,22.279936
136.0,21.777216,0.356272,22.133488
137.0,22.249264,0.359272,22.608536
138.0,22.032616,0.355656,22.388272
139.0,21.872392,0.350808,22.2232
140.0,23.193544,0.361736,23.55528
141.0,22.286496,0.337784,22.62428
142.0,22.29776,0.340104,22.637864
143.0,22.471928,0.339464,22.811392
144.0,22.21276,0.337024,22.549784
145.0,22.453008,0.338848,22.791856
146.0,22.577192,0.339488,22.91668
147.0,22.392768,0.335152,22.72792
148.0,22.66308,0.336408,22.999488
149.0,22.629216,0.335152,22.964368
150.0,22.502632,0.336408,22.83904
151.0,22.63712,0.337,22.97412
152.0,22.9862,0.335176,23.321376
153.0,22.570464,0.334536,22.905
154.0,22.58508,0.335176,22.920256
