experiment,method,window,t_lo,t_hi,total_quic_wire_mbps_mean,path_a_quic_wire_mbps_mean,path_b_quic_wire_mbps_mean
Loss-only diagnostic,baseline,0-50,0.0,50.0,19.532892479999997,17.989768159999997,1.54312432
Loss-only diagnostic,baseline,50-90,50.0,90.0,23.9659392,21.7118204,2.2541187999999996
Loss-only diagnostic,baseline,90-100,90.0,100.0,24.2793,21.9597,2.3196000000000003
Loss-only diagnostic,baseline,100-110,100.0,110.0,23.790232800000002,21.9651328,1.8251000000000002
Loss-only diagnostic,baseline,100-150,100.0,150.0,24.114539999999998,21.992814560000003,2.12172544
Loss-only diagnostic,baseline,150-220,150.0,220.0,23.300955999999996,22.876128799999996,0.4248272
Loss-only diagnostic,baseline,full,0.0,220.0,22.794859600000002,21.311490763636364,1.4833688363636364
Loss-only diagnostic,qaccess_t_dynamic,0-50,0.0,50.0,18.56582608,17.946707999999997,0.61911808
Loss-only diagnostic,qaccess_t_dynamic,50-90,50.0,90.0,23.143688400000002,22.6885988,0.4550896
Loss-only diagnostic,qaccess_t_dynamic,90-100,90.0,100.0,23.794024800000003,23.351198400000005,0.44282639999999995
Loss-only diagnostic,qaccess_t_dynamic,100-110,100.0,110.0,24.0149624,23.574104800000004,0.4408576
Loss-only diagnostic,qaccess_t_dynamic,100-150,100.0,150.0,24.483789119999997,24.04638848,0.43740064000000006
Loss-only diagnostic,qaccess_t_dynamic,150-220,150.0,220.0,26.510033600000003,26.072305714285715,0.43772788571428567
Loss-only diagnostic,qaccess_t_dynamic,full,0.0,220.0,23.508504072727273,23.026237090909092,0.48226698181818184
