time_s,path_a_quic_wire_mbps,path_b_quic_wire_mbps,total_quic_wire_mbps
0.0,0.024248,0.034752,0.059
1.0,0.030952,0.033976,0.064928
2.0,0.068712,0.023616,0.092328
3.0,0.085208,0.030088,0.115296
4.0,0.001608,0.006912,0.00852
5.0,0.006912,0.006912,0.013824
6.0,0.05036,0.027648,0.078008
7.0,2.709264,0.087544,2.796808
8.0,20.243928,0.828352,21.07228
9.0,21.321712,1.605112,22.926824
10.0,21.314888,1.656088,22.970976
11.0,21.331384,1.662096,22.99348
12.0,21.331936,1.69308,23.025016
13.0,20.728408,1.718352,22.44676
14.0,21.381008,1.687712,23.06872
15.0,21.357056,1.712208,23.069264
16.0,21.390488,1.725904,23.116392
17.0,21.404552,1.758712,23.163264
18.0,20.75952,1.916432,22.675952
19.0,21.41452,1.713584,23.128104
20.0,21.433288,1.643768,23.077056
21.0,21.431016,1.778,23.209016
22.0,21.44364,1.805616,23.249256
23.0,20.793488,1.801456,22.594944
24.0,21.465672,1.813208,23.27888
25.0,21.463256,1.822544,23.2858
26.0,21.479552,1.844216,23.323768
27.0,20.82704,1.846,22.67304
28.0,21.513392,1.857128,23.37052
29.0,21.522832,1.864832,23.387664
30.0,21.497952,1.877624,23.375576
31.0,20.878024,1.867512,22.745536
32.0,21.552112,1.88936,23.441472
33.0,21.570504,1.913448,23.483952
34.0,21.506904,1.915616,23.42252
35.0,21.010472,1.953752,22.964224
36.0,21.548576,1.931848,23.480424
37.0,21.622672,1.9584,23.581072
38.0,21.59268,1.972736,23.565416
39.0,21.245552,1.98596,23.231512
40.0,21.345,1.981976,23.326976
41.0,21.663336,1.986888,23.650224
42.0,21.616808,2.012488,23.629296
43.0,21.394008,2.005144,23.399152
44.0,21.2842,2.033856,23.318056
45.0,21.692168,2.049448,23.741616
46.0,21.662504,2.0534,23.715904
47.0,21.428024,2.003528,23.431552
48.0,21.322768,2.0522,23.374968
49.0,21.724304,1.705184,23.429488
50.0,21.686,1.890288,23.576288
51.0,21.354864,2.089928,23.444792
52.0,21.456256,2.113496,23.569752
53.0,21.779928,2.140024,23.919952
54.0,21.739776,2.131408,23.871184
55.0,21.223704,2.139024,23.362728
56.0,21.646976,2.189296,23.836272
57.0,21.840128,2.176992,24.01712
58.0,21.673936,2.19268,23.866616
59.0,21.150592,2.18448,23.335072
60.0,21.852672,2.206752,24.059424
61.0,21.86684,2.19436,24.0612
62.0,21.762008,2.219608,23.981616
63.0,21.02736,2.226528,23.253888
64.0,21.920856,2.197176,24.118032
65.0,21.890648,2.21604,24.106688
66.0,21.720368,2.08564,23.806008
67.0,21.327344,1.897072,23.224416
68.0,21.93424,2.231008,24.165248
69.0,21.893984,2.294608,24.188592
70.0,21.728224,2.307512,24.035736
71.0,21.41452,2.3024,23.71692
72.0,21.97332,2.315496,24.288816
73.0,21.877032,2.357288,24.23432
74.0,21.406888,2.358192,23.76508
75.0,21.852248,2.370096,24.222344
76.0,22.006488,2.342112,24.3486
77.0,21.80428,2.385008,24.189288
78.0,21.386808,2.33744,23.724248
79.0,22.055976,2.255856,24.311832
80.0,22.033024,2.398696,24.43172
81.0,21.766864,1.880728,23.647592
82.0,21.48644,2.326784,23.813224
83.0,22.083736,2.431328,24.515064
84.0,21.94428,2.440728,24.385008
85.0,21.517704,2.437528,23.955232
86.0,21.926304,2.440936,24.36724
87.0,22.098656,2.474392,24.573048
88.0,21.824504,2.49508,24.319584
89.0,21.53704,2.490744,24.027784
90.0,22.163632,2.473888,24.63752
91.0,22.057064,2.43632,24.493384
92.0,21.872544,2.366976,24.23952
93.0,21.658656,2.28128,23.939936
94.0,22.216088,2.270096,24.486184
95.0,21.853432,2.450472,24.303904
96.0,21.557464,2.544352,24.101816
97.0,22.184928,2.320864,24.505792
98.0,22.142784,2.119656,24.26244
99.0,21.890408,1.932096,23.822504
100.0,21.73492,1.803184,23.538104
101.0,22.213176,1.828024,24.0412
102.0,21.963192,1.831872,23.795064
103.0,21.596368,1.843696,23.440064
104.0,22.205512,1.69824,23.903752
105.0,22.077616,1.621504,23.69912
106.0,21.958032,1.84116,23.799192
107.0,21.772232,1.919728,23.69196
