time_s,path_a_quic_wire_mbps,path_b_quic_wire_mbps,total_quic_wire_mbps
0.0,0.027792,0.02264,0.050432
1.0,0.032152,0.030952,0.063104
2.0,0.031968,0.035688,0.067656
3.0,0.113048,0.033296,0.146344
4.0,0.009168,0.002216,0.011384
5.0,0.006912,0.006912,0.013824
6.0,0.013824,0.013824,0.027648
7.0,0.070504,0.015448,0.085952
8.0,9.889056,0.20636,10.095416
9.0,21.128056,2.235584,23.36364
10.0,20.750656,2.819008,23.569664
11.0,21.389512,1.825792,23.215304
12.0,21.402216,1.7752,23.177416
13.0,21.393776,1.809432,23.203208
14.0,21.452608,1.80924,23.261848
15.0,21.23156,1.849392,23.080952
16.0,21.085864,1.802008,22.887872
17.0,21.461832,0.458736,21.920568
18.0,21.4858,0.458136,21.943936
19.0,21.471776,0.449336,21.921112
20.0,21.476208,0.448136,21.924344
21.0,21.218808,0.4464,21.665208
22.0,21.277704,0.445736,21.72344
23.0,21.622416,0.4452,22.067616
24.0,21.654984,0.4458,22.100784
25.0,21.633664,0.4452,22.078864
26.0,21.689312,0.445136,22.134448
27.0,21.083696,0.4464,21.530096
28.0,21.681816,0.4452,22.127016
29.0,21.793792,0.4446,22.238392
30.0,21.812176,0.444,22.256176
31.0,21.812048,0.445624,22.257672
32.0,21.53436,0.4446,21.97896
33.0,21.50784,0.445136,21.952976
34.0,21.9542,0.444,22.3982
35.0,21.984464,0.4434,22.427864
36.0,21.917792,0.4428,22.360592
37.0,21.663872,0.4428,22.106672
38.0,21.647832,0.4434,22.091232
39.0,22.080584,0.4422,22.522784
40.0,21.432016,0.4272,21.859216
41.0,21.97128,0.4428,22.41408
42.0,21.523056,0.4422,21.965256
43.0,22.142648,0.4422,22.584848
44.0,22.156632,0.441,22.597632
45.0,22.189256,0.4416,22.630856
46.0,21.539008,0.4398,21.978808
47.0,22.1464,0.4422,22.5886
48.0,22.34992,0.4404,22.79032
49.0,22.389536,0.441536,22.831072
50.0,21.919792,0.4416,22.361392
51.0,21.975376,0.4398,22.415176
52.0,22.427872,0.444008,22.87188
53.0,22.547728,0.458392,23.00612
54.0,22.27844,0.463136,22.741576
55.0,21.853072,0.474984,22.328056
56.0,22.488336,0.474984,22.96332
57.0,22.628528,0.475632,23.10416
58.0,22.451768,0.47304,22.924808
59.0,21.8706,0.473688,22.344288
60.0,22.629912,0.47304,23.102952
61.0,22.752264,0.47304,23.225304
62.0,22.653576,0.472392,23.125968
63.0,22.007312,0.47596,22.483272
64.0,22.613784,0.472392,23.086176
65.0,22.814312,0.471096,23.285408
66.0,22.78184,0.482664,23.264504
67.0,22.070248,0.443744,22.513992
68.0,22.728072,0.45404,23.182112
69.0,22.98824,0.44788,23.43612
70.0,22.857336,0.447264,23.3046
71.0,22.277328,0.44788,22.725208
72.0,22.712312,0.447264,23.159576
73.0,23.083832,0.447264,23.531096
74.0,23.242632,0.447264,23.689896
75.0,23.169944,0.4448,23.614744
76.0,23.051016,0.446032,23.497048
77.0,22.11488,0.446648,22.561528
