feature,perm_importance_mean,perm_importance_std
owd_ms,2.6246273899471855,0.062165265241887875
inflight_bytes,1.2539529623118972,0.044100182661209034
delay_gradient_ms,0.47106189079896454,0.0091997102620962
cwnd_room,0.026684301144806067,0.0006935783911233583
bw_bps,0.02581657277849241,0.002222204064865149
cwnd_bytes,0.012842975229652841,0.00043379642286352926
utility,0.011567773466991171,0.0012773978975112097
loss_rate,0.00981476934965001,0.0013465317405006668
alpha,0.007888753355849187,0.0016005302660611093
backoff,0.00739764967433112,0.0014930468188387464
beta,0.0048283644056423495,0.0010966363766948374
gain,0.004678761965802192,0.0004852337878482586
gamma,0.003609450502502831,0.0009289363292338045
lost_bytes_delta,5.687705981172187e-06,6.340604577342336e-07
retrans_bytes_delta,0.0,0.0
