feature,perm_importance_mean,perm_importance_std
cwnd_room,6.8301076045466615,0.2398359748292269
bw_bps,2.3271566853433283,0.04724788357520165
cwnd_bytes,1.0866742032431582,0.05596870560492201
inflight_bytes,0.9147073532398668,0.057379490255494145
utility,0.36703792534687435,0.011476228926355863
loss_rate,0.07623177830793201,0.005296591942314263
owd_ms,0.04908598660673652,0.0021215831815887152
backoff,0.0362044242729793,0.0018532842694830725
alpha,0.02248718657136033,0.004099493350888059
gain,0.018943842344051543,0.0019122012317227908
delay_gradient_ms,0.014753028562126125,0.0029275520132950443
lost_bytes_delta,0.008938066408232592,9.021913424650914e-05
beta,0.007076705179666498,0.0016768426842670428
gamma,0.0020957102480499866,0.0006026939812831156
retrans_bytes_delta,0.0,0.0
