method,window,t_lo,t_hi,tp_mbps_mean,source,source_files
baseline,0-50,0.0,50.0,19.969182204081633,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_baseline/pcaps/pathA_h1_20260526_215214.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_baseline/pcaps/pathB_h1_20260526_215214.pcap
baseline,50-60,50.0,60.0,22.81302,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_baseline/pcaps/pathA_h1_20260526_215214.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_baseline/pcaps/pathB_h1_20260526_215214.pcap
baseline,50-100,50.0,100.0,23.46421328,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_baseline/pcaps/pathA_h1_20260526_215214.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_baseline/pcaps/pathB_h1_20260526_215214.pcap
baseline,100-110,100.0,110.0,24.3636592,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_baseline/pcaps/pathA_h1_20260526_215214.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_baseline/pcaps/pathB_h1_20260526_215214.pcap
baseline,100-150,100.0,150.0,24.91480272,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_baseline/pcaps/pathA_h1_20260526_215214.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_baseline/pcaps/pathB_h1_20260526_215214.pcap
baseline,150-420,150.0,420.0,25.30310696296296,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_baseline/pcaps/pathA_h1_20260526_215214.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_baseline/pcaps/pathB_h1_20260526_215214.pcap
qaccess_t,0-50,0.0,50.0,21.81032212244898,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_qaccess_t/pcaps/pathA_h1_20260526_215925.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_qaccess_t/pcaps/pathB_h1_20260526_215925.pcap
qaccess_t,50-60,50.0,60.0,24.036764800000004,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_qaccess_t/pcaps/pathA_h1_20260526_215925.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_qaccess_t/pcaps/pathB_h1_20260526_215925.pcap
qaccess_t,50-100,50.0,100.0,23.567366079999996,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_qaccess_t/pcaps/pathA_h1_20260526_215925.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_qaccess_t/pcaps/pathB_h1_20260526_215925.pcap
qaccess_t,100-110,100.0,110.0,24.0209336,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_qaccess_t/pcaps/pathA_h1_20260526_215925.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_qaccess_t/pcaps/pathB_h1_20260526_215925.pcap
qaccess_t,100-150,100.0,150.0,24.52334256,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_qaccess_t/pcaps/pathA_h1_20260526_215925.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_qaccess_t/pcaps/pathB_h1_20260526_215925.pcap
qaccess_t,150-420,150.0,420.0,32.38161579259259,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_qaccess_t/pcaps/pathA_h1_20260526_215925.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260526_215214/fig7_qaccess_t/pcaps/pathB_h1_20260526_215925.pcap
