method,window,t_lo,t_hi,tp_mbps_mean,source,source_files
baseline,0-50,0.0,50.0,18.54084736,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_fig7_dynamic_20260602_201354/fig7_baseline/pcaps/pathA_h1_20260602_201355.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_fig7_dynamic_20260602_201354/fig7_baseline/pcaps/pathB_h1_20260602_201355.pcap
baseline,50-60,50.0,60.0,22.4773728,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_fig7_dynamic_20260602_201354/fig7_baseline/pcaps/pathA_h1_20260602_201355.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_fig7_dynamic_20260602_201354/fig7_baseline/pcaps/pathB_h1_20260602_201355.pcap
baseline,50-100,50.0,100.0,23.0037392,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_fig7_dynamic_20260602_201354/fig7_baseline/pcaps/pathA_h1_20260602_201355.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_fig7_dynamic_20260602_201354/fig7_baseline/pcaps/pathB_h1_20260602_201355.pcap
baseline,100-110,100.0,110.0,23.722022399999997,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_fig7_dynamic_20260602_201354/fig7_baseline/pcaps/pathA_h1_20260602_201355.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_fig7_dynamic_20260602_201354/fig7_baseline/pcaps/pathB_h1_20260602_201355.pcap
baseline,100-150,100.0,150.0,24.167274239999998,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_fig7_dynamic_20260602_201354/fig7_baseline/pcaps/pathA_h1_20260602_201355.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_fig7_dynamic_20260602_201354/fig7_baseline/pcaps/pathB_h1_20260602_201355.pcap
qaccess_t_dynamic,0-50,0.0,50.0,19.86600288,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_fig7_dynamic_20260602_201354/fig7_qaccess_t_dynamic/pcaps/pathA_h1_20260602_201745.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_fig7_dynamic_20260602_201354/fig7_qaccess_t_dynamic/pcaps/pathB_h1_20260602_201745.pcap
qaccess_t_dynamic,50-60,50.0,60.0,23.809562399999997,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_fig7_dynamic_20260602_201354/fig7_qaccess_t_dynamic/pcaps/pathA_h1_20260602_201745.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_fig7_dynamic_20260602_201354/fig7_qaccess_t_dynamic/pcaps/pathB_h1_20260602_201745.pcap
qaccess_t_dynamic,50-100,50.0,100.0,24.41181504,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_fig7_dynamic_20260602_201354/fig7_qaccess_t_dynamic/pcaps/pathA_h1_20260602_201745.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_fig7_dynamic_20260602_201354/fig7_qaccess_t_dynamic/pcaps/pathB_h1_20260602_201745.pcap
qaccess_t_dynamic,100-110,100.0,110.0,23.2816592,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_fig7_dynamic_20260602_201354/fig7_qaccess_t_dynamic/pcaps/pathA_h1_20260602_201745.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_fig7_dynamic_20260602_201354/fig7_qaccess_t_dynamic/pcaps/pathB_h1_20260602_201745.pcap
qaccess_t_dynamic,100-150,100.0,150.0,24.34788688,pcap,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_fig7_dynamic_20260602_201354/fig7_qaccess_t_dynamic/pcaps/pathA_h1_20260602_201745.pcap;/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_fig7_dynamic_20260602_201354/fig7_qaccess_t_dynamic/pcaps/pathB_h1_20260602_201745.pcap
