time_s,tp_mbps
0.0,0.062936
1.0,0.060768
2.0,0.16044
3.0,0.048848
4.0,0.027648
5.0,0.020736
6.0,0.090632
7.0,10.06444
8.0,22.594176
9.0,22.942304
10.0,22.690032
11.0,22.760944
12.0,23.035216
13.0,23.109008
14.0,23.099288
15.0,23.134576
16.0,22.891808
17.0,22.795152
18.0,23.179064
19.0,23.124952
20.0,23.212136
21.0,25.229304
22.0,26.74628
23.0,25.513648
24.0,24.328136
25.0,23.839624
26.0,22.987656
27.0,22.435744
28.0,23.515488
29.0,22.863248
30.0,23.184504
31.0,23.260824
32.0,23.280824
33.0,22.625928
34.0,23.132216
35.0,23.333352
36.0,23.845904
37.0,23.06116
38.0,23.696592
39.0,22.942128
40.0,23.477432
41.0,23.459912
42.0,23.53652
43.0,23.409424
44.0,23.05844
45.0,23.604368
46.0,23.567296
47.0,23.432312
48.0,23.33572
49.0,23.491056
50.0,23.681496
51.0,23.707352
52.0,23.515344
53.0,23.48732
54.0,24.071424
55.0,23.961048
56.0,24.107432
57.0,23.77376
58.0,23.89124
59.0,23.899208
60.0,23.93344
61.0,24.832896
62.0,23.99088
63.0,23.996624
64.0,23.960944
65.0,23.414304
66.0,23.913336
67.0,24.110712
68.0,24.09368
69.0,24.124296
70.0,23.3372
71.0,23.984048
72.0,24.127464
73.0,24.232872
74.0,24.274472
75.0,24.268256
76.0,23.483736
77.0,24.237688
78.0,24.325536
79.0,26.317056
80.0,28.699392
81.0,29.952632
82.0,31.809488
83.0,29.52832
84.0,29.3998
85.0,25.131984
86.0,23.47848
87.0,23.192944
88.0,22.779008
89.0,22.928264
90.0,22.826616
91.0,22.93952
92.0,24.440776
93.0,24.303752
94.0,23.138256
95.0,23.054232
96.0,22.675248
97.0,23.003064
98.0,23.063936
99.0,23.189976
100.0,23.357176
101.0,23.079664
102.0,23.222048
103.0,23.357352
104.0,22.967232
105.0,23.55244
106.0,23.475584
107.0,23.376176
108.0,23.29336
109.0,23.13556
110.0,23.782944
111.0,23.737136
112.0,23.550696
113.0,23.7682
114.0,24.023944
115.0,23.61188
116.0,23.33164
117.0,24.019904
118.0,23.983584
119.0,23.754208
120.0,24.221752
121.0,23.846472
122.0,24.11492
123.0,24.011064
124.0,23.74172
125.0,24.303352
126.0,24.15488
127.0,23.96964
128.0,24.696952
129.0,24.80308
130.0,24.595288
131.0,24.572592
132.0,24.843104
133.0,24.551888
134.0,24.653928
135.0,24.968904
136.0,24.697296
137.0,24.815248
138.0,25.04812
139.0,24.77804
140.0,25.078944
141.0,25.088888
142.0,24.984208
143.0,24.893632
144.0,25.235424
145.0,25.05996
146.0,26.613792
147.0,25.91988
148.0,27.307424
149.0,27.443224
150.0,26.793896
151.0,29.470928
152.0,27.302136
153.0,28.854216
154.0,27.482344
155.0,24.69348
156.0,24.811096
157.0,24.995408
158.0,24.676888
159.0,24.736416
160.0,24.921
161.0,24.912576
162.0,24.945056
163.0,24.999728
164.0,25.02224
165.0,25.063144
166.0,25.09036
167.0,25.107992
168.0,25.147032
169.0,25.172856
170.0,25.215128
171.0,25.256136
172.0,25.270416
173.0,25.311328
174.0,25.054176
175.0,25.183592
176.0,24.867848
177.0,25.174264
178.0,26.818328
179.0,25.498016
180.0,25.52176
181.0,25.577632
182.0,25.5558
183.0,25.552
184.0,25.719656
185.0,25.7286
186.0,26.547384
187.0,25.199848
188.0,25.514944
189.0,25.830448
190.0,25.881656
191.0,25.8706
192.0,25.922008
193.0,26.027424
194.0,26.00816
195.0,25.956272
196.0,25.985616
197.0,27.22572
198.0,26.012944
199.0,25.49192
200.0,26.172
201.0,26.056976
202.0,26.074648
203.0,26.055168
204.0,26.35768
205.0,26.399944
206.0,26.41252
207.0,27.63168
208.0,25.943728
209.0,27.217448
210.0,26.269256
211.0,26.606584
212.0,27.029312
213.0,25.583536
214.0,26.559576
215.0,30.645448
216.0,29.444144
217.0,27.377424
218.0,30.393472
219.0,27.958968
220.0,31.208112
221.0,34.93736
222.0,32.43092
223.0,31.977064
224.0,31.307144
225.0,2.597568
