run_order,candidate_id,replicate,alpha,beta,gamma,intervention_s,seed,is_sham
1,a0.6_b0.1_g0.2,1,0.6,0.1,0.2,65,20260730,0
2,a0.8_b0.3_g0.1,3,0.8,0.3,0.1,70,20260730,0
3,a0.7_b0.3_g0.3,5,0.7,0.3,0.3,75,20260730,0
4,a0.6_b0.1_g0.3,1,0.6,0.1,0.3,65,20260730,0
5,a0.7_b0.3_g0.3,3,0.7,0.3,0.3,70,20260730,0
6,a0.6_b0.2_g0.2,4,0.6,0.2,0.2,75,20260730,0
7,a0.8_b0.1_g0.3,1,0.8,0.1,0.3,65,20260730,0
8,a0.7_b0.1_g0.3,1,0.7,0.1,0.3,70,20260730,0
9,a0.7_b0.1_g0.1,2,0.7,0.1,0.1,75,20260730,0
10,a0.8_b0.3_g0.2,5,0.8,0.3,0.2,65,20260730,0
11,a0.8_b0.1_g0.2,4,0.8,0.1,0.2,70,20260730,0
12,a0.8_b0.3_g0.3,1,0.8,0.3,0.3,75,20260730,0
13,a0.8_b0.1_g0.1,5,0.8,0.1,0.1,65,20260730,0
14,a0.7_b0.2_g0.2,1,0.7,0.2,0.2,70,20260730,0
15,a0.8_b0.3_g0.1,5,0.8,0.3,0.1,75,20260730,0
16,a0.7_b0.1_g0.2,5,0.7,0.1,0.2,65,20260730,0
17,a0.8_b0.2_g0.1,1,0.8,0.2,0.1,70,20260730,0
18,a0.8_b0.3_g0.2,2,0.8,0.3,0.2,75,20260730,0
19,a0.6_b0.2_g0.1,1,0.6,0.2,0.1,65,20260730,0
20,a0.6_b0.3_g0.2,5,0.6,0.3,0.2,70,20260730,0
21,a0.7_b0.3_g0.2,3,0.7,0.3,0.2,75,20260730,0
22,a0.6_b0.1_g0.2,5,0.6,0.1,0.2,65,20260730,0
23,a0.7_b0.2_g0.1,2,0.7,0.2,0.1,70,20260730,0
24,a0.8_b0.1_g0.2,3,0.8,0.1,0.2,75,20260730,0
25,a0.8_b0.3_g0.2,3,0.8,0.3,0.2,65,20260730,0
26,a0.6_b0.2_g0.1,2,0.6,0.2,0.1,70,20260730,0
27,a0.6_b0.3_g0.1,5,0.6,0.3,0.1,75,20260730,1
28,a0.8_b0.1_g0.2,1,0.8,0.1,0.2,65,20260730,0
29,a0.6_b0.2_g0.2,1,0.6,0.2,0.2,70,20260730,0
30,a0.8_b0.2_g0.2,1,0.8,0.2,0.2,75,20260730,0
31,a0.8_b0.3_g0.3,3,0.8,0.3,0.3,65,20260730,0
